Anio;Periodo;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera;DatoParadosRegistrados;DatoParadosRegistradosHombres;DatoParadosRegistradosMujer;DatoAfiliacionesTrabajo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;DatoAfiliacionesResidencia;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;DatoAutonomo;DatoAutonomosHombres;DatoAutonomosMujer
2006;Anual;21;Barajas;213;Casco Histórico de Barajas;7858;11.68;71.8;16.52;27.66;23.7;30.6;99.5;20.11;;;;;;;;;;;;
2007;Anual;21;Barajas;213;Casco Histórico de Barajas;7809;11.55;72.17;16.28;28.09;24.7;30.5;100.6;20.3;;;;;;;;;;;;
2008;Anual;21;Barajas;213;Casco Histórico de Barajas;7784;11.24;72.65;16.11;29.51;27.2;31.1;99.2;21.62;;;;;;;;;;;;
2009;Anual;21;Barajas;213;Casco Histórico de Barajas;7905;10.96;73.06;15.99;29.83;27.3;31.6;99.7;23.16;;;;;;;;;;;;
2010;Anual;21;Barajas;213;Casco Histórico de Barajas;7890;10.96;72.97;16.07;31.15;27.8;33.5;102.0;23.21;;;;1176.0;563;613;;;;319.0;203;116
2011;Anual;21;Barajas;213;Casco Histórico de Barajas;7926;11.08;72.89;16.04;30.76;27.9;32.8;102.3;23.3;;;;1240.0;602;638;;;;314.0;197;117
2012;Anual;21;Barajas;213;Casco Histórico de Barajas;7830;11.47;72.11;16.42;31.42;27.3;34.4;104.6;22.22;583.0;287;296;1159.0;578;581;;;;269.0;172;97
2013;Anual;21;Barajas;213;Casco Histórico de Barajas;7638;11.6;71.2;17.2;34.47;30.0;37.6;105.2;19.8;; - ; - ;1193.0;559;634;3016.0;1.558;1.458;280.0;180;100
2014;Anual;21;Barajas;213;Casco Histórico de Barajas;7379;11.87;70.44;17.69;34.87;30.4;38.1;104.1;17.25;582.0;294;288;1231.0;593;638;2548.0;1.320;1.228;310.0;197;113
2015;Anual;21;Barajas;213;Casco Histórico de Barajas;7252;11.85;69.76;18.39;35.61;31.1;38.9;105.3;16.33;543.0;271;272;1342.0;675;667;2547.0;1.306;1.241;313.0;202;111
2016;Anual;21;Barajas;213;Casco Histórico de Barajas;7280;11.72;69.93;18.35;36.98;32.5;40.3;105.8;16.32;520.0;260;260;1440.0;721;719;2897.0;1.470;1.427;310.0;197;113
2017;Anual;21;Barajas;213;Casco Histórico de Barajas;7313;11.72;70.0;18.28;36.28;31.6;39.7;107.1;16.87;448.0;219;229;1437.0;699;738;3029.0;1.548;1.481;331.0;211;120
2018;Anual;21;Barajas;213;Casco Histórico de Barajas;7336;11.6;69.86;18.54;35.66;31.6;38.7;106.6;17.28;392.0;166;226;1437.0;701;736;3045.0;1.538;1.507;234.0;144;90
2019;Anual;21;Barajas;213;Casco Histórico de Barajas;7565;12.03;69.66;18.31;34.0;30.0;37.0;107.4;18.35;381.0;164;217;1593.0;804;789;3151.0;1.613;1.538;377.0;234;143
2020;Anual;21;Barajas;213;Casco Histórico de Barajas;7683;11.79;69.65;18.56;33.2;28.5;36.8;108.3;19.22;542.0;243;299;1595.0;829;766;3291.0;1.697;1.594;382.0;242;140
2021;Anual;21;Barajas;213;Casco Histórico de Barajas;7504;11.42;69.63;18.95;33.1;28.5;36.7;108.9;19.64;393.0;164;229;1423.0;736;687;3207.0;1.645;1.562;375.0;235;140
2022;Anual;21;Barajas;213;Casco Histórico de Barajas;7351;11.22;68.87;19.9;31.9;27.0;35.7;108.2;19.26;285.0;123;162;1432.0;727;705;3243.0;1.643;1.600;356.0;220;136
2005;Anual;9;Moncloa - Aravaca;95;Valdemarín;3583;27.88;64.81;7.28;34.48;9.0;47.7;124.5;15.21;;;;;;;;;;;;
2006;Anual;9;Moncloa - Aravaca;95;Valdemarín;4000;28.8;63.65;7.52;34.88;10.5;49.7;121.5;14.3;;;;;;;;;;;;
2007;Anual;9;Moncloa - Aravaca;95;Valdemarín;4439;29.24;63.33;7.41;36.17;13.8;49.5;120.5;13.43;;;;;;;;;;;;
2008;Anual;9;Moncloa - Aravaca;95;Valdemarín;4835;29.41;63.27;7.3;35.13;14.4;47.5;122.6;13.86;;;;;;;;;;;;
2009;Anual;9;Moncloa - Aravaca;95;Valdemarín;5276;29.72;62.91;7.35;37.11;18.1;48.4;122.7;15.35;;;;;;;;;;;;
2010;Anual;9;Moncloa - Aravaca;95;Valdemarín;5584;29.62;62.88;7.49;38.76;21.8;48.9;123.7;15.31;;;;6955.0;2.317;4.638;;;;188.0;105;83
2011;Anual;9;Moncloa - Aravaca;95;Valdemarín;5751;29.63;62.42;7.93;36.4;19.0;47.2;125.2;14.87;;;;4833.0;2.226;2.607;;;;201.0;112;89
2012;Anual;9;Moncloa - Aravaca;95;Valdemarín;6008;30.24;61.58;8.16;37.14;19.5;47.9;123.1;12.92;146.0;55;91;4915.0;2.299;2.616;;;;176.0;101;75
2013;Anual;9;Moncloa - Aravaca;95;Valdemarín;6192;30.59;61.03;8.38;35.07;16.8;46.7;121.1;12.44;145.0;62;83;5629.0;2.318;3.311;2222.0;1.092;1.130;211.0;123;88
2014;Anual;9;Moncloa - Aravaca;95;Valdemarín;6149;30.36;60.79;8.85;36.4;21.6;46.3;118.7;11.19;131.0;51;80;6224.0;2.493;3.731;2044.0;994;1.050;285.0;154;131
2015;Anual;9;Moncloa - Aravaca;95;Valdemarín;6275;30.26;60.46;9.27;36.43;21.1;46.2;117.7;9.59;125.0;49;76;7051.0;2.940;4.111;2058.0;986;1.072;326.0;171;155
2016;Anual;9;Moncloa - Aravaca;95;Valdemarín;6326;29.64;60.35;10.01;37.28;23.1;46.6;116.9;9.03;120.0;38;82;7623.0;3.271;4.352;1725.0;817;908;360.0;186;174
2017;Anual;9;Moncloa - Aravaca;95;Valdemarín;6413;28.96;60.69;10.35;35.09;22.9;43.2;116.9;9.39;129.0;48;81;7905.0;3.498;4.407;2474.0;1.198;1.276;395.0;211;184
2018;Anual;9;Moncloa - Aravaca;95;Valdemarín;6560;28.46;60.91;10.63;33.72;21.2;42.5;117.4;9.47;118.0;47;71;7865.0;3.590;4.275;2461.0;1.173;1.288;259.0;157;102
2019;Anual;9;Moncloa - Aravaca;95;Valdemarín;6726;27.59;61.31;11.09;32.3;19.2;41.6;116.3;9.32;134.0;55;79;8319.0;3.737;4.582;2548.0;1.221;1.327;466.0;248;218
2020;Anual;9;Moncloa - Aravaca;95;Valdemarín;6957;26.53;62.28;11.18;33.3;20.6;42.1;117.6;9.6;150.0;62;88;14334.0;6.549;7.785;2608.0;1.258;1.350;503.0;272;231
2021;Anual;9;Moncloa - Aravaca;95;Valdemarín;6856;25.45;63.4;11.14;30.6;21.7;37.3;116.8;9.76;126.0;49;77;12811.0;5.832;6.979;2708.0;1.307;1.401;503.0;282;221
2022;Anual;9;Moncloa - Aravaca;95;Valdemarín;7048;24.89;63.65;11.46;31.6;22.5;38.4;114.7;8.75;109.0;46;63;13553.0;6.008;7.545;2737.0;1.332;1.405;535.0;296;239
2005;Anual;6;Tetuán;64;Almenara;18407;11.49;62.78;25.74;28.23;23.9;30.8;119.2;11.74;;;;;;;;;;;;
2006;Anual;6;Tetuán;64;Almenara;19759;12.9;62.78;24.32;29.37;24.9;32.0;119.1;14.06;;;;;;;;;;;;
2007;Anual;6;Tetuán;64;Almenara;20899;12.97;63.69;23.34;30.83;26.1;33.6;118.6;14.04;;;;;;;;;;;;
2008;Anual;6;Tetuán;64;Almenara;21470;13.08;64.29;22.63;32.59;28.1;35.2;119.0;15.03;;;;;;;;;;;;
2009;Anual;6;Tetuán;64;Almenara;21920;12.99;64.67;22.34;34.34;30.2;36.7;119.1;15.82;;;;;;;;;;;;
2010;Anual;6;Tetuán;64;Almenara;22359;13.0;64.94;22.06;35.98;31.5;38.6;117.9;15.93;;;;6966.0;4.204;2.762;;;;777.0;535;242
2011;Anual;6;Tetuán;64;Almenara;22137;12.89;65.24;21.87;38.24;34.0;40.6;119.0;15.7;;;;6881.0;4.072;2.809;;;;771.0;529;242
2012;Anual;6;Tetuán;64;Almenara;22179;13.0;65.39;21.62;39.84;35.7;42.2;118.4;15.04;2068.0;1.041;1.027;15312.0;8.164;7.148;;;;652.0;450;202
2013;Anual;6;Tetuán;64;Almenara;22110;12.85;65.58;21.57;42.24;38.2;44.6;118.2;14.42;2113.0;1.078;1.035;14958.0;7.582;7.376;7590.0;3.567;4.023;666.0;452;214
2014;Anual;6;Tetuán;64;Almenara;21897;12.76;65.41;21.83;44.16;39.3;46.9;118.9;13.3;2000.0;967;1.033;13663.0;6.747;6.916;6759.0;3.129;3.630;722.0;487;235
2015;Anual;6;Tetuán;64;Almenara;21651;12.63;65.39;21.98;46.0;41.4;48.6;120.3;12.05;1838.0;879;959;13749.0;6.832;6.917;6780.0;3.182;3.598;750.0;494;256
2016;Anual;6;Tetuán;64;Almenara;21769;12.54;65.84;21.62;46.46;41.7;49.2;119.4;12.38;1743.0;803;940;13902.0;6.819;7.083;7730.0;3.607;4.123;728.0;486;242
2017;Anual;6;Tetuán;64;Almenara;21982;12.42;66.75;20.84;47.36;42.3;50.2;119.4;12.41;1665.0;755;910;13473.0;6.619;6.854;8421.0;3.951;4.470;807.0;540;267
2018;Anual;6;Tetuán;64;Almenara;22421;12.31;67.44;20.25;46.89;41.4;50.0;119.6;13.31;1519.0;686;833;14039.0;6.842;7.197;8505.0;4.003;4.502;686.0;465;221
2019;Anual;6;Tetuán;64;Almenara;22642;12.11;68.02;19.87;45.5;39.2;49.1;119.5;14.4;1587.0;682;905;15273.0;7.159;8.114;8993.0;4.234;4.759;901.0;589;312
2020;Anual;6;Tetuán;64;Almenara;23003;12.01;68.65;19.35;43.6;36.9;47.5;118.0;15.89;1934.0;856;1.078;16343.0;7.341;9.002;9091.0;4.371;4.720;955.0;629;326
2021;Anual;6;Tetuán;64;Almenara;22738;11.82;69.22;18.96;42.0;34.7;46.2;117.2;16.48;1677.0;709;968;14571.0;6.609;7.962;9054.0;4.368;4.686;873.0;586;287
2022;Anual;6;Tetuán;64;Almenara;22594;11.86;69.17;18.97;40.1;32.4;44.6;117.4;16.67;1301.0;536;765;8772.0;4.007;4.765;9434.0;4.614;4.820;850.0;562;288
2005;Anual;6;Tetuán;65;Valdeacederas;23363;13.48;68.88;17.64;25.56;20.2;28.8;113.0;19.18;;;;;;;;;;;;
2006;Anual;6;Tetuán;65;Valdeacederas;23606;13.22;69.2;17.58;26.19;20.8;29.5;112.6;20.95;;;;;;;;;;;;
2007;Anual;6;Tetuán;65;Valdeacederas;23937;12.89;70.22;16.89;27.23;21.1;31.0;113.3;21.06;;;;;;;;;;;;
2008;Anual;6;Tetuán;65;Valdeacederas;24409;12.79;70.83;16.38;28.28;22.4;31.9;112.1;22.56;;;;;;;;;;;;
2009;Anual;6;Tetuán;65;Valdeacederas;24995;12.79;71.39;15.83;29.32;23.5;33.0;111.0;23.65;;;;;;;;;;;;
2010;Anual;6;Tetuán;65;Valdeacederas;25270;13.03;71.24;15.73;30.84;25.0;34.4;111.5;23.97;;;;4110.0;2.724;1.386;;;;1036.0;751;285
2011;Anual;6;Tetuán;65;Valdeacederas;25231;13.38;70.96;15.66;32.57;26.9;36.1;112.3;23.7;;;;3960.0;2.564;1.396;;;;1053.0;758;295
2012;Anual;6;Tetuán;65;Valdeacederas;25286;13.65;70.91;15.44;33.91;29.1;36.8;114.5;22.95;2117.0;1.109;1.008;3598.0;2.352;1.246;;;;900.0;666;234
2013;Anual;6;Tetuán;65;Valdeacederas;25494;13.86;70.92;15.22;35.41;30.0;38.7;115.1;22.31;2135.0;1.106;1.029;3596.0;2.170;1.426;9942.0;4.596;5.346;905.0;655;250
2014;Anual;6;Tetuán;65;Valdeacederas;24921;13.98;70.72;15.3;37.14;31.8;40.3;114.3;20.44;2065.0;1.052;1.013;3653.0;2.190;1.463;8732.0;4.038;4.694;962.0;693;269
2015;Anual;6;Tetuán;65;Valdeacederas;24583;13.71;70.8;15.49;38.98;34.3;41.7;115.3;18.37;1809.0;863;946;3284.0;1.922;1.362;8696.0;4.032;4.664;981.0;705;276
2016;Anual;6;Tetuán;65;Valdeacederas;24932;13.86;70.82;15.32;39.29;34.2;42.3;115.7;18.87;1688.0;793;895;3267.0;1.880;1.387;9976.0;4.636;5.340;994.0;699;295
2017;Anual;6;Tetuán;65;Valdeacederas;25214;13.66;71.25;15.09;40.32;35.3;43.3;115.8;19.83;1527.0;713;814;3164.0;1.816;1.348;10889.0;5.110;5.779;1068.0;753;315
2018;Anual;6;Tetuán;65;Valdeacederas;25571;13.48;71.74;14.77;39.68;35.0;42.5;116.1;21.22;1335.0;568;767;3064.0;1.657;1.407;10981.0;5.168;5.813;806.0;560;246
2019;Anual;6;Tetuán;65;Valdeacederas;26021;13.11;72.34;14.55;38.8;33.8;41.9;115.4;22.68;1475.0;654;821;3456.0;1.895;1.561;11474.0;5.458;6.016;1168.0;802;366
2020;Anual;6;Tetuán;65;Valdeacederas;26545;12.83;72.84;14.33;37.2;32.8;39.9;115.0;23.85;1923.0;854;1.069;3348.0;1.904;1.444;11569.0;5.586;5.983;1220.0;842;378
2021;Anual;6;Tetuán;65;Valdeacederas;26625;12.74;73.1;14.17;36.5;31.8;39.3;114.5;;1560.0;696;864;3079.0;1.803;1.276;11603.0;5.596;6.007;1167.0;807;360
2022;Anual;6;Tetuán;65;Valdeacederas;26140;12.31;73.01;14.68;35.4;30.1;38.7;112.9;;1242.0;515;727;3240.0;1.897;1.343;12060.0;5.849;6.211;1152.0;798;354
2005;Anual;9;Moncloa - Aravaca;94;Valdezarza;32495;12.76;67.9;19.34;24.63;20.5;27.4;114.0;10.63;;;;;;;;;;;;
2006;Anual;9;Moncloa - Aravaca;94;Valdezarza;32119;12.47;67.54;19.99;25.44;21.6;28.0;114.4;11.58;;;;;;;;;;;;
2007;Anual;9;Moncloa - Aravaca;94;Valdezarza;31363;12.26;67.13;20.61;26.2;22.3;28.8;115.2;11.66;;;;;;;;;;;;
2008;Anual;9;Moncloa - Aravaca;94;Valdezarza;31299;12.28;66.96;20.76;26.63;22.5;29.4;115.9;12.43;;;;;;;;;;;;
2009;Anual;9;Moncloa - Aravaca;94;Valdezarza;31156;12.25;66.62;21.14;27.94;23.8;30.7;115.9;12.74;;;;;;;;;;;;
2010;Anual;9;Moncloa - Aravaca;94;Valdezarza;31101;12.13;66.28;21.59;28.83;24.8;31.5;116.9;12.8;;;;2259.0;1.265;994;;;;838.0;556;282
2011;Anual;9;Moncloa - Aravaca;94;Valdezarza;30816;12.05;65.99;21.96;29.14;24.5;32.2;117.0;12.95;;;;3067.0;1.441;1.626;;;;831.0;555;276
2012;Anual;9;Moncloa - Aravaca;94;Valdezarza;30467;12.19;65.13;22.67;29.99;25.6;32.9;117.1;12.13;2084.0;991;1.093;2836.0;1.342;1.494;;;;708.0;467;241
2013;Anual;9;Moncloa - Aravaca;94;Valdezarza;30184;12.24;64.61;23.14;31.12;27.4;33.5;118.1;11.42;2088.0;976;1.112;3329.0;1.277;2.052;10641.0;5.157;5.484;728.0;476;252
2014;Anual;9;Moncloa - Aravaca;94;Valdezarza;29722;12.45;63.62;23.93;32.13;29.1;34.1;118.3;10.62;1893.0;891;1.002;3413.0;1.354;2.059;9438.0;4.583;4.855;811.0;523;288
2015;Anual;9;Moncloa - Aravaca;94;Valdezarza;29497;12.6;63.03;24.37;32.93;30.0;34.8;119.4;9.93;1666.0;734;932;3432.0;1.352;2.080;9457.0;4.590;4.867;853.0;555;298
2016;Anual;9;Moncloa - Aravaca;94;Valdezarza;29404;12.61;62.67;24.71;33.14;30.0;35.2;119.3;10.21;1466.0;636;830;3633.0;1.424;2.209;9848.0;4.748;5.100;896.0;582;314
2017;Anual;9;Moncloa - Aravaca;94;Valdezarza;29246;12.55;62.45;25.0;34.14;31.2;36.1;118.9;10.26;1343.0;564;779;3674.0;1.486;2.188;10916.0;5.237;5.679;933.0;599;334
2018;Anual;9;Moncloa - Aravaca;94;Valdezarza;29418;12.61;62.39;24.99;34.72;31.3;37.0;118.6;10.41;1233.0;496;737;3577.0;1.424;2.153;10985.0;5.291;5.694;803.0;511;292
2019;Anual;9;Moncloa - Aravaca;94;Valdezarza;29722;12.52;62.56;24.92;34.8;31.5;36.9;118.0;11.2;1309.0;552;757;3909.0;1.628;2.281;11260.0;5.508;5.752;1101.0;700;401
2020;Anual;9;Moncloa - Aravaca;94;Valdezarza;30405;12.62;62.62;24.76;34.4;31.4;36.3;118.5;12.05;1648.0;712;936;3669.0;1.549;2.120;11534.0;5.667;5.867;1128.0;702;426
2021;Anual;9;Moncloa - Aravaca;94;Valdezarza;30091;12.52;62.51;24.97;34.8;31.6;36.8;118.9;12.01;1331.0;567;764;3458.0;1.504;1.954;11402.0;5.515;5.887;1058.0;663;395
2022;Anual;9;Moncloa - Aravaca;94;Valdezarza;29802;12.67;62.15;25.18;35.0;31.7;37.0;119.1;11.67;1151.0;498;653;3463.0;1.476;1.987;11832.0;5.704;6.128;1045.0;649;396
2005;Anual;21;Barajas;215;Corralejos;4699;24.38;69.61;6.0;18.09;14.5;21.2;97.9;7.55;;;;;;;;;;;;
2006;Anual;21;Barajas;215;Corralejos;5077;25.53;68.45;6.03;20.92;18.8;22.6;99.4;8.78;;;;;;;;;;;;
2007;Anual;21;Barajas;215;Corralejos;5545;26.64;67.32;6.04;20.9;19.5;22.1;100.2;9.43;;;;;;;;;;;;
2008;Anual;21;Barajas;215;Corralejos;5976;26.54;66.47;6.99;26.08;23.3;28.4;101.1;10.36;;;;;;;;;;;;
2009;Anual;21;Barajas;215;Corralejos;6394;27.57;64.94;7.49;30.9;22.7;37.6;102.5;10.6;;;;;;;;;;;;
2010;Anual;21;Barajas;215;Corralejos;6703;27.91;64.25;7.83;31.43;21.2;39.1;103.6;11.4;;;;23848.0;11.999;11.849;;;;238.0;155;83
2011;Anual;21;Barajas;215;Corralejos;6995;27.53;64.3;8.16;31.35;21.4;39.0;103.9;11.51;;;;25312.0;12.847;12.465;;;;261.0;174;87
2012;Anual;21;Barajas;215;Corralejos;7093;27.91;63.87;8.22;30.36;23.5;35.7;104.1;9.74;294.0;128;166;26237.0;13.186;13.051;;;;243.0;164;79
2013;Anual;21;Barajas;215;Corralejos;7131;27.74;63.72;8.54;29.06;22.9;33.7;104.9;9.03;; - ; - ;27891.0;13.898;13.993;2894.0;1.458;1.436;273.0;189;84
2014;Anual;21;Barajas;215;Corralejos;7153;27.76;63.08;9.16;29.47;22.9;34.6;104.1;7.83;269.0;106;163;26395.0;13.411;12.984;1962.0;980;982;307.0;208;99
2015;Anual;21;Barajas;215;Corralejos;7213;27.92;62.6;9.48;29.68;25.0;33.3;105.1;7.11;239.0;95;144;24041.0;12.377;11.664;1962.0;984;978;331.0;219;112
2016;Anual;21;Barajas;215;Corralejos;7300;27.38;62.82;9.79;30.49;24.0;35.3;105.9;6.66;222.0;90;132;23365.0;11.771;11.594;2950.0;1.484;1.466;338.0;220;118
2017;Anual;21;Barajas;215;Corralejos;7370;26.93;63.01;10.05;31.71;25.4;36.2;106.2;6.55;202.0;86;116;24258.0;12.142;12.116;3106.0;1.568;1.538;384.0;248;136
2018;Anual;21;Barajas;215;Corralejos;7510;25.89;64.1;10.01;29.65;24.7;33.3;105.4;6.48;177.0;69;108;26562.0;13.162;13.400;3143.0;1.573;1.570;200.0;127;73
2019;Anual;21;Barajas;215;Corralejos;7642;25.11;64.84;10.05;31.4;27.9;33.9;104.0;6.65;206.0;89;117;28452.0;14.080;14.372;3299.0;1.646;1.653;433.0;273;160
2020;Anual;21;Barajas;215;Corralejos;7754;24.25;65.81;9.94;30.0;26.2;32.7;103.9;6.49;269.0;118;151;29139.0;14.606;14.533;3345.0;1.669;1.676;427.0;268;159
2021;Anual;21;Barajas;215;Corralejos;7664;22.64;67.51;9.85;27.9;23.7;31.2;102.7;6.58;218.0;97;121;30816.0;15.218;15.598;3338.0;1.657;1.681;424.0;268;156
2022;Anual;21;Barajas;215;Corralejos;7601;21.13;68.64;10.24;27.4;23.9;30.2;103.1;6.66;183.0;84;99;20808.0;10.906;9.902;3422.0;1.698;1.724;415.0;264;151
2005;Anual;16;Hortaleza;163;Canillas;44853;13.32;70.83;15.85;22.18;16.8;26.1;108.5;7.9;;;;;;;;;;;;
2006;Anual;16;Hortaleza;163;Canillas;44589;13.03;70.28;16.68;22.5;17.0;26.5;109.2;8.93;;;;;;;;;;;;
2007;Anual;16;Hortaleza;163;Canillas;43777;12.82;69.55;17.63;23.01;17.5;27.1;109.7;9.05;;;;;;;;;;;;
2008;Anual;16;Hortaleza;163;Canillas;43806;12.59;68.98;18.43;23.1;18.4;26.6;109.9;9.99;;;;;;;;;;;;
2009;Anual;16;Hortaleza;163;Canillas;43780;12.45;68.36;19.18;23.68;18.5;27.6;110.6;10.92;;;;;;;;;;;;
2010;Anual;16;Hortaleza;163;Canillas;43620;12.46;67.39;20.15;24.6;19.4;28.5;111.5;11.12;;;;8349.0;4.307;4.042;;;;1680.0;1.144;536
2011;Anual;16;Hortaleza;163;Canillas;43270;12.42;66.44;21.13;25.39;20.4;29.0;112.5;10.96;;;;8836.0;4.703;4.133;;;;1689.0;1.144;545
2012;Anual;16;Hortaleza;163;Canillas;42504;12.4;65.39;22.21;25.83;21.1;29.2;113.4;9.85;2642.0;1.237;1.405;9224.0;4.943;4.281;;;;1464.0;988;476
2013;Anual;16;Hortaleza;163;Canillas;41982;12.36;64.41;23.23;26.68;22.2;30.0;114.3;9.31;2591.0;1.245;1.346;9425.0;4.751;4.674;15074.0;7.406;7.668;1500.0;996;504
2014;Anual;16;Hortaleza;163;Canillas;41268;12.43;63.34;24.23;27.12;22.7;30.4;113.8;8.54;2356.0;1.083;1.273;9462.0;4.712;4.750;13438.0;6.556;6.882;1630.0;1.057;573
2015;Anual;16;Hortaleza;163;Canillas;40564;12.39;62.53;25.08;27.53;23.3;30.6;114.1;7.67;2104.0;931;1.173;8877.0;4.526;4.351;13426.0;6.578;6.848;1725.0;1.115;610
2016;Anual;16;Hortaleza;163;Canillas;40580;12.43;62.05;25.52;28.49;24.7;31.1;114.2;7.77;1891.0;838;1.053;9360.0;4.787;4.573;14883.0;7.276;7.607;1733.0;1.110;623
2017;Anual;16;Hortaleza;163;Canillas;40500;12.32;61.76;25.93;29.38;25.7;32.0;114.9;7.91;1839.0;760;1.079;10182.0;5.028;5.154;15203.0;7.426;7.777;1794.0;1.158;636
2018;Anual;16;Hortaleza;163;Canillas;40627;12.35;61.5;26.15;30.19;27.1;32.4;114.6;8.49;1636.0;651;985;9171.0;4.358;4.813;15242.0;7.431;7.811;1315.0;862;453
2019;Anual;16;Hortaleza;163;Canillas;40578;12.24;61.49;26.27;30.5;27.9;32.4;114.5;9.03;1656.0;672;984;9698.0;4.587;5.111;15516.0;7.537;7.979;1893.0;1.215;678
2020;Anual;16;Hortaleza;163;Canillas;40838;12.07;61.44;26.49;30.2;27.6;32.0;114.6;9.69;2059.0;856;1.203;9818.0;4.726;5.092;15531.0;7.635;7.896;1932.0;1.212;720
2021;Anual;16;Hortaleza;163;Canillas;40281;11.89;61.2;26.92;31.4;29.5;32.7;114.8;10.05;1758.0;717;1.041;9241.0;4.496;4.745;15248.0;7.471;7.777;1739.0;1.085;654
2022;Anual;16;Hortaleza;163;Canillas;39708;11.78;60.72;27.5;32.3;30.7;33.5;115.5;9.99;1344.0;533;811;9108.0;4.314;4.794;15467.0;7.517;7.950;1705.0;1.064;641
2005;Anual;5;Chamartín;55;Nueva España;22479;16.82;64.63;18.57;26.43;24.0;28.1;120.2;11.28;;;;;;;;;;;;
2006;Anual;5;Chamartín;55;Nueva España;22867;17.0;64.05;18.94;27.11;24.2;29.1;120.9;12.35;;;;;;;;;;;;
2007;Anual;5;Chamartín;55;Nueva España;23083;16.44;64.54;19.02;28.02;25.9;29.5;120.6;11.93;;;;;;;;;;;;
2008;Anual;5;Chamartín;55;Nueva España;23447;16.4;64.51;19.09;29.0;26.2;30.9;120.7;12.46;;;;;;;;;;;;
2009;Anual;5;Chamartín;55;Nueva España;23768;16.34;64.33;19.33;30.86;27.4;33.2;120.7;12.95;;;;;;;;;;;;
2010;Anual;5;Chamartín;55;Nueva España;23811;16.34;63.9;19.76;31.94;27.9;34.7;121.1;12.89;;;;21426.0;11.975;9.451;;;;1716.0;1.046;670
2011;Anual;5;Chamartín;55;Nueva España;23825;16.45;63.53;20.02;32.8;28.9;35.4;120.5;12.8;;;;21100.0;11.797;9.303;;;;1726.0;1.048;678
2012;Anual;5;Chamartín;55;Nueva España;23786;16.62;62.98;20.4;32.58;29.0;35.0;121.2;11.23;813.0;376;437;19202.0;10.239;8.963;;;;1473.0;908;565
2013;Anual;5;Chamartín;55;Nueva España;23699;16.59;62.76;20.65;33.61;29.9;36.1;120.3;10.76;870.0;406;464;20675.0;9.869;10.806;8381.0;3.987;4.394;1492.0;898;594
2014;Anual;5;Chamartín;55;Nueva España;23378;16.39;62.39;21.23;34.24;30.9;36.5;121.0;9.85;758.0;350;408;20900.0;10.101;10.799;7426.0;3.498;3.928;1648.0;1.001;647
2015;Anual;5;Chamartín;55;Nueva España;23315;16.26;62.11;21.63;34.7;31.0;37.2;121.3;8.91;662.0;294;368;21147.0;10.181;10.966;7436.0;3.534;3.902;1682.0;1.017;665
2016;Anual;5;Chamartín;55;Nueva España;23548;16.46;62.05;21.49;34.55;31.6;36.5;120.4;8.69;634.0;280;354;20343.0;9.390;10.953;8544.0;4.092;4.452;1670.0;1.002;668
2017;Anual;5;Chamartín;55;Nueva España;24110;16.94;61.9;21.16;35.68;33.2;37.3;120.2;8.66;609.0;257;352;21885.0;10.103;11.782;9172.0;4.407;4.765;1783.0;1.083;700
2018;Anual;5;Chamartín;55;Nueva España;24496;17.18;61.89;20.93;35.73;33.5;37.2;120.2;9.02;580.0;257;323;22066.0;10.321;11.745;9186.0;4.438;4.748;1476.0;911;565
2019;Anual;5;Chamartín;55;Nueva España;24657;17.22;61.89;20.89;35.4;33.0;36.9;120.8;9.13;549.0;218;331;23073.0;10.971;12.102;9584.0;4.639;4.945;2037.0;1.195;842
2020;Anual;5;Chamartín;55;Nueva España;25015;17.13;62.07;20.8;35.3;32.8;36.9;120.5;9.58;683.0;269;414;26687.0;14.062;12.625;9800.0;4.772;5.028;2117.0;1.249;868
2021;Anual;5;Chamartín;55;Nueva España;24697;17.01;61.97;21.01;35.7;33.1;37.4;121.5;;625.0;249;376;22722.0;11.374;11.348;9921.0;4.840;5.081;2051.0;1.213;838
2022;Anual;5;Chamartín;55;Nueva España;24366;16.61;62.09;21.3;36.2;33.7;37.9;121.2;;449.0;175;274;23548.0;11.579;11.969;10039.0;;;2042.0;1.200;842
2005;Anual;15;Ciudad Lineal;158;Atalaya;1709;18.59;67.82;13.68;17.09;13.5;20.0;125.7;12.51;;;;;;;;;;;;
2006;Anual;15;Ciudad Lineal;158;Atalaya;1708;18.68;67.39;13.93;19.33;15.3;22.1;123.9;12.88;;;;;;;;;;;;
2007;Anual;15;Ciudad Lineal;158;Atalaya;1646;18.29;66.59;15.13;18.07;14.0;20.8;130.5;12.39;;;;;;;;;;;;
2008;Anual;15;Ciudad Lineal;158;Atalaya;1651;18.84;65.48;15.69;20.08;17.3;21.9;130.6;13.81;;;;;;;;;;;;
2009;Anual;15;Ciudad Lineal;158;Atalaya;1691;18.81;64.52;16.68;21.99;19.5;23.7;130.1;15.2;;;;;;;;;;;;
