Anio;Periodo_x;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera;DatoParadosRegistrados;DatoParadosRegistradosHombres;DatoParadosRegistradosMujer;DatoAfiliacionesTrabajo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;DatoAfiliacionesResidencia;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;DatoAutonomo;DatoAutonomosHombres;DatoAutonomosMujer;PrecioVentaEurosM2;PrecioAlquilerEurosM2;PresupuestoGasto;Gasto_Real;NumeroLocales;NumeroAlojamientos;Periodo_y;DatoRentaMedia
2016;Anual;5;Chamartín;54.0;Hispanoamérica;31224.0;15.01;60.23;24.75;38.88;33.8;41.8;124.8;6.87;989.0;451;538;23478.0;10.761;12.717;10967.0;5.251;5.716;2073.0;1.251;822;4.245;13.8;4869302.86;3370015.06;1632.0;7.0;Anual;63487.0
2016;Anual;5;Chamartín;52.0;Prosperidad;36156.0;11.31;64.78;23.91;32.99;28.4;35.7;123.8;9.09;1622.0;718;904;13298.0;5.784;7.514;13637.0;6.460;7.177;1888.0;1.158;730;4.245;13.8;4869302.86;3370015.06;1828.0;3.0;Anual;44699.0
2016;Anual;5;Chamartín;53.0;Ciudad Jardín;18262.0;12.55;64.56;22.89;37.54;32.9;40.0;126.7;10.56;907.0;391;516;13911.0;7.152;6.759;6998.0;3.194;3.804;1197.0;781;416;4.245;13.8;4869302.86;3370015.06;1350.0;3.0;Anual;44437.0
2016;Anual;5;Chamartín;51.0;El Viso;17018.0;14.14;64.54;21.32;36.91;31.6;40.2;123.6;11.15;396.0;163;233;34759.0;14.733;20.026;6220.0;3.034;3.186;1587.0;908;679;4.245;13.8;4869302.86;3370015.06;967.0;4.0;Anual;80371.0
2017;Anual;5;Chamartín;56.0;Castilla;16598.0;13.02;64.51;22.47;39.72;32.8;44.1;116.0;7.96;555.0;246;309;47225.0;19.939;27.286;6455.0;3.190;3.265;989.0;624;365;4.635;15.5;8222650.9;4071180.44;1395.0;8.0;Anual;58137.0
2017;Anual;5;Chamartín;55.0;Nueva España;24110.0;16.94;61.9;21.16;35.68;33.2;37.3;120.2;8.66;609.0;257;352;21885.0;10.103;11.782;9172.0;4.407;4.765;1783.0;1.083;700;4.635;15.5;8222650.9;4071180.44;1903.0;5.0;Anual;74482.0
2017;Anual;5;Chamartín;54.0;Hispanoamérica;31247.0;14.96;60.39;24.65;39.26;34.4;42.1;124.6;6.73;890.0;391;499;23828.0;11.041;12.787;11541.0;5.527;6.014;2235.0;1.363;872;4.635;15.5;8222650.9;4071180.44;3095.0;8.0;Anual;66079.0
2017;Anual;5;Chamartín;52.0;Prosperidad;36089.0;11.36;64.24;24.4;33.35;28.4;36.4;123.7;9.3;1546.0;682;864;13735.0;6.049;7.686;14342.0;6.831;7.511;2021.0;1.230;791;4.635;15.5;8222650.9;4071180.44;3479.0;4.0;Anual;45620.0
2017;Anual;5;Chamartín;53.0;Ciudad Jardín;18319.0;12.47;64.35;23.17;37.5;32.5;40.3;127.7;10.98;759.0;316;443;13718.0;7.129;6.589;7294.0;3.324;3.970;1275.0;827;448;4.635;15.5;8222650.9;4071180.44;2613.0;3.0;Anual;45521.0
2017;Anual;5;Chamartín;51.0;El Viso;17061.0;14.49;64.21;21.3;37.18;32.3;40.2;122.2;10.81;348.0;140;208;34430.0;14.574;19.856;6502.0;3.197;3.305;1704.0;969;735;4.635;15.5;8222650.9;4071180.44;1869.0;4.0;Anual;80447.0
2018;Anual;5;Chamartín;56.0;Castilla;16871.0;13.19;64.48;22.33;39.55;32.4;44.1;116.2;8.4;516.0;210;306;49570.0;21.473;28.097;6408.0;3.151;3.257;590.0;379;211;5.198;16.0;16654056.2;3086192.27;732.0;7.0;Anual;61310.0
2018;Anual;5;Chamartín;55.0;Nueva España;24496.0;17.18;61.89;20.93;35.73;33.5;37.2;120.2;9.02;580.0;257;323;22066.0;10.321;11.745;9186.0;4.438;4.748;1476.0;911;565;5.198;16.0;16654056.2;3086192.27;1019.0;6.0;Anual;78098.0
2018;Anual;5;Chamartín;54.0;Hispanoamérica;31373.0;15.07;60.32;24.61;39.03;34.1;41.9;124.0;6.7;843.0;378;465;22839.0;10.622;12.217;11589.0;5.588;6.001;2005.0;1.217;788;5.198;16.0;16654056.2;3086192.27;1650.0;6.0;Anual;69389.0
2018;Anual;5;Chamartín;52.0;Prosperidad;36522.0;11.43;63.91;24.66;32.95;28.2;35.8;124.0;9.68;1354.0;583;771;13006.0;5.634;7.372;14327.0;6.836;7.491;1528.0;936;592;5.198;16.0;16654056.2;3086192.27;1835.0;4.0;Anual;46805.0
2018;Anual;5;Chamartín;53.0;Ciudad Jardín;18487.0;12.48;64.5;23.01;36.62;31.8;39.3;126.9;11.29;657.0;289;368;14083.0;7.420;6.663;7316.0;3.375;3.941;1118.0;741;377;5.198;16.0;16654056.2;3086192.27;1367.0;3.0;Anual;48944.0
2018;Anual;5;Chamartín;51.0;El Viso;17145.0;14.33;64.2;21.47;36.81;30.9;40.5;120.8;10.58;338.0;152;186;36894.0;15.785;21.109;6502.0;3.186;3.316;1487.0;862;625;5.198;16.0;16654056.2;3086192.27;988.0;4.0;Anual;80370.0
2019;Anual;5;Chamartín;56.0;Castilla;16880.0;13.52;63.89;22.59;37.8;31.1;42.0;116.7;8.49;528.0;217;311;50766.0;22.263;28.503;6737.0;3.306;3.431;1032.0;653;379;5.056;16.3;17568846.76;11457995.07;736.0;8.0;Anual;61185.0
2019;Anual;5;Chamartín;55.0;Nueva España;24657.0;17.22;61.89;20.89;35.4;33.0;36.9;120.8;9.13;549.0;218;331;23073.0;10.971;12.102;9584.0;4.639;4.945;2037.0;1.195;842;5.056;16.3;17568846.76;11457995.07;1019.0;5.0;Anual;76080.0
2019;Anual;5;Chamartín;54.0;Hispanoamérica;31733.0;14.98;60.44;24.57;38.6;33.4;41.6;123.2;7.16;835.0;350;485;24396.0;11.374;13.022;11891.0;5.762;6.129;2430.0;1.449;981;5.056;16.3;17568846.76;11457995.07;1672.0;5.0;Anual;71645.0
2019;Anual;5;Chamartín;52.0;Prosperidad;36651.0;11.24;63.82;24.94;32.4;27.2;35.5;123.8;10.34;1324.0;547;777;13633.0;5.855;7.778;14890.0;7.041;7.849;2188.0;1.329;859;5.056;16.3;17568846.76;11457995.07;1849.0;4.0;Anual;48553.0
2019;Anual;5;Chamartín;53.0;Ciudad Jardín;18642.0;12.29;64.59;23.11;36.2;31.0;39.2;126.4;11.51;694.0;318;376;14771.0;7.804;6.967;7623.0;3.504;4.119;1420.0;898;522;5.056;16.3;17568846.76;11457995.07;1383.0;4.0;Anual;49452.0
2019;Anual;5;Chamartín;51.0;El Viso;17302.0;14.19;64.17;21.64;36.1;29.6;40.2;122.3;11.02;331.0;149;182;37279.0;16.218;21.061;6753.0;3.334;3.419;1906.0;1.119;787;5.056;16.3;17568846.76;11457995.07;1011.0;4.0;Anual;83775.0
2020;Anual;5;Chamartín;56.0;Castilla;17228.0;13.77;63.61;22.63;36.1;29.3;40.5;117.5;9.42;672.0;285;387;46345.0;20.279;26.066;6787.0;3.350;3.437;1064.0;664;400;4.999;15.5;14514439.4;13803217.97;749.0;8.0;Anual;62012.0
2020;Anual;5;Chamartín;55.0;Nueva España;25015.0;17.13;62.07;20.8;35.3;32.8;36.9;120.5;9.58;683.0;269;414;26687.0;14.062;12.625;9800.0;4.772;5.028;2117.0;1.249;868;4.999;15.5;14514439.4;13803217.97;1023.0;6.0;Anual;78336.0
2020;Anual;5;Chamartín;54.0;Hispanoamérica;32042.0;14.79;60.61;24.6;37.8;32.2;41.2;122.7;7.84;1066.0;479;587;24937.0;11.613;13.324;12140.0;5.835;6.305;2467.0;1.453;1.014;4.999;15.5;14514439.4;13803217.97;1675.0;5.0;Anual;70450.0
2020;Anual;5;Chamartín;52.0;Prosperidad;36940.0;11.11;63.68;25.21;31.8;27.0;34.8;123.8;10.83;1792.0;784;1.008;37616.0;11.970;25.646;15072.0;7.209;7.863;2242.0;1.356;886;4.999;15.5;14514439.4;13803217.97;1863.0;5.0;Anual;48327.0
2020;Anual;5;Chamartín;53.0;Ciudad Jardín;18893.0;12.34;64.58;23.08;35.4;29.4;38.8;124.5;12.34;936.0;417;519;15214.0;7.959;7.255;7688.0;3.599;4.089;1465.0;906;559;4.999;15.5;14514439.4;13803217.97;1385.0;4.0;Anual;49051.0
2020;Anual;5;Chamartín;51.0;El Viso;17433.0;14.05;64.21;21.74;35.6;29.7;39.3;122.3;11.53;452.0;202;250;37265.0;16.214;21.051;6804.0;3.306;3.498;1961.0;1.141;820;4.999;15.5;14514439.4;13803217.97;1009.0;3.0;Anual;83519.0
2013;Anual;9;Moncloa - Aravaca;96.0;El Plantío;2483.0;18.2;64.96;16.83;22.49;18.6;26.0;118.6;10.83;65.0;28;37;9665.0;5.186;4.479;916.0;439;477;241.0;154;87;3.049;10.7;11313619.99;9932227.98;;;Anual;93597.3047619048
2013;Anual;9;Moncloa - Aravaca;93.0;Ciudad Universitaria;15702.0;13.74;62.97;23.29;32.79;26.9;36.6;121.2;9.72;616.0;265;351;23474.0;9.923;13.551;5063.0;2.385;2.678;644.0;392;252;3.049;10.7;11313619.99;9932227.98;;;Anual;62275.7900262146
2013;Anual;9;Moncloa - Aravaca;95.0;Valdemarín;6192.0;30.59;61.03;8.38;35.07;16.8;46.7;121.1;12.44;145.0;62;83;5629.0;2.318;3.311;2222.0;1.092;1.130;211.0;123;88;3.049;10.7;11313619.99;9932227.98;;;Anual;106640.846500868
2013;Anual;9;Moncloa - Aravaca;94.0;Valdezarza;30184.0;12.24;64.61;23.14;31.12;27.4;33.5;118.1;11.42;2088.0;976;1.112;3329.0;1.277;2.052;10641.0;5.157;5.484;728.0;476;252;3.049;10.7;11313619.99;9932227.98;;;Anual;34027.558734594
2013;Anual;9;Moncloa - Aravaca;97.0;Aravaca;25589.0;22.36;66.15;11.49;24.56;20.4;27.9;112.4;11.52;977.0;455;522;9361.0;3.328;6.033;9301.0;4.399;4.902;1110.0;653;457;3.049;10.7;11313619.99;9932227.98;;;Anual;67162.500933475
2013;Anual;9;Moncloa - Aravaca;91.0;Casa de Campo;12422.0;11.37;62.86;25.78;40.13;36.1;42.3;121.3;9.02;697.0;378;319;5284.0;2.909;2.375;4011.0;1.951;2.060;389.0;235;154;3.049;10.7;11313619.99;9932227.98;;;Anual;39510.5927689629
2013;Anual;9;Moncloa - Aravaca;92.0;Argüelles;24469.0;9.91;65.67;24.42;38.68;31.4;42.6;125.5;13.24;1162.0;560;602;20592.0;10.108;10.484;8517.0;4.021;4.496;1527.0;951;576;3.049;10.7;11313619.99;9932227.98;;;Anual;49355.1255906607
2014;Anual;9;Moncloa - Aravaca;96.0;El Plantío;2446.0;18.07;64.19;17.74;21.89;18.8;24.6;114.6;10.1;69.0;28;41;9056.0;4.691;4.365;786.0;385;401;247.0;161;86;3.017;11.2;24646412.91;18041819.07;219.0;;Anual;114186.303445596
2014;Anual;9;Moncloa - Aravaca;93.0;Ciudad Universitaria;15638.0;13.45;62.42;24.13;33.02;27.1;36.9;121.5;9.87;528.0;226;302;41822.0;15.518;26.304;4508.0;2.143;2.365;741.0;443;298;3.017;11.2;24646412.91;18041819.07;948.0;;Anual;64474.7706969178
2014;Anual;9;Moncloa - Aravaca;95.0;Valdemarín;6149.0;30.36;60.79;8.85;36.4;21.6;46.3;118.7;11.19;131.0;51;80;6224.0;2.493;3.731;2044.0;994;1.050;285.0;154;131;3.017;11.2;24646412.91;18041819.07;103.0;;Anual;111688.985042784
2014;Anual;9;Moncloa - Aravaca;94.0;Valdezarza;29722.0;12.45;63.62;23.93;32.13;29.1;34.1;118.3;10.62;1893.0;891;1.002;3413.0;1.354;2.059;9438.0;4.583;4.855;811.0;523;288;3.017;11.2;24646412.91;18041819.07;931.0;;Anual;33997.0665379125
2014;Anual;9;Moncloa - Aravaca;97.0;Aravaca;25494.0;22.11;65.56;12.33;25.17;21.5;28.2;111.5;10.44;906.0;389;517;10380.0;4.049;6.331;7813.0;3.703;4.110;1283.0;740;543;3.017;11.2;24646412.91;18041819.07;724.0;;Anual;72527.5419643303
2014;Anual;9;Moncloa - Aravaca;91.0;Casa de Campo;12191.0;11.24;62.57;26.19;42.15;38.1;44.4;121.0;8.08;687.0;357;330;4952.0;2.685;2.267;3553.0;1.716;1.837;451.0;278;173;3.017;11.2;24646412.91;18041819.07;768.0;;Anual;40609.3090762681
2014;Anual;9;Moncloa - Aravaca;92.0;Argüelles;24073.0;9.96;65.27;24.77;38.99;31.7;43.0;124.2;12.93;1086.0;515;571;19040.0;9.360;9.680;7425.0;3.504;3.921;1709.0;1.048;661;3.017;11.2;24646412.91;18041819.07;1416.0;;Anual;51925.5028312537
2015;Anual;9;Moncloa - Aravaca;96.0;El Plantío;2462.0;17.79;63.89;18.32;21.73;18.1;24.9;115.4;8.73;71.0;33;38;9583.0;4.835;4.748;794.0;375;419;277.0;178;99;3.071;12.0;27647496.03;22951287.36;218.0;2.0;Anual;101419.171710362
2015;Anual;9;Moncloa - Aravaca;93.0;Ciudad Universitaria;15782.0;13.0;62.2;24.8;33.24;28.2;36.5;119.9;9.56;529.0;228;301;42390.0;15.766;26.624;4496.0;2.151;2.345;823.0;519;304;3.071;12.0;27647496.03;22951287.36;960.0;34.0;Anual;67390.492096167
2015;Anual;9;Moncloa - Aravaca;95.0;Valdemarín;6275.0;30.26;60.46;9.27;36.43;21.1;46.2;117.7;9.59;125.0;49;76;7051.0;2.940;4.111;2058.0;986;1.072;326.0;171;155;3.071;12.0;27647496.03;22951287.36;107.0;7.0;Anual;112320.748093875
2015;Anual;9;Moncloa - Aravaca;94.0;Valdezarza;29497.0;12.6;63.03;24.37;32.93;30.0;34.8;119.4;9.93;1666.0;734;932;3432.0;1.352;2.080;9457.0;4.590;4.867;853.0;555;298;3.071;12.0;27647496.03;22951287.36;934.0;;Anual;34996.9307976869
2015;Anual;9;Moncloa - Aravaca;97.0;Aravaca;25388.0;21.97;65.11;12.92;25.91;22.1;29.0;111.1;9.44;795.0;364;431;11285.0;4.579;6.706;7862.0;3.755;4.107;1380.0;796;584;3.071;12.0;27647496.03;22951287.36;733.0;2.0;Anual;77060.7556397453
2015;Anual;9;Moncloa - Aravaca;91.0;Casa de Campo;12622.0;10.78;63.83;25.39;43.78;39.8;46.0;117.8;7.3;618.0;314;304;4859.0;2.560;2.299;3561.0;1.712;1.849;498.0;303;195;3.071;12.0;27647496.03;22951287.36;790.0;4.0;Anual;41436.0838529902
2015;Anual;9;Moncloa - Aravaca;92.0;Argüelles;23875.0;10.03;64.89;25.08;39.41;32.7;43.1;123.8;12.26;986.0;448;538;19691.0;9.410;10.281;7357.0;3.480;3.877;1792.0;1.076;716;3.071;12.0;27647496.03;22951287.36;1440.0;15.0;Anual;53460.6435623358
2016;Anual;9;Moncloa - Aravaca;96.0;El Plantío;2575.0;18.8;63.07;18.14;21.84;17.9;25.3;111.2;8.47;54.0;25;29;8561.0;4.305;4.256;924.0;442;482;283.0;180;103;3.178;12.9;15881359.43;8350633.13;228.0;2.0;Anual;89015.0
2016;Anual;9;Moncloa - Aravaca;93.0;Ciudad Universitaria;16019.0;12.95;61.99;25.06;33.72;28.6;37.1;119.4;9.72;462.0;218;244;44429.0;16.392;28.037;5212.0;2.506;2.706;818.0;520;298;3.178;12.9;15881359.43;8350633.13;989.0;33.0;Anual;61444.0
2016;Anual;9;Moncloa - Aravaca;95.0;Valdemarín;6326.0;29.64;60.35;10.01;37.28;23.1;46.6;116.9;9.03;120.0;38;82;7623.0;3.271;4.352;1725.0;817;908;360.0;186;174;3.178;12.9;15881359.43;8350633.13;118.0;7.0;Anual;88035.0
2016;Anual;9;Moncloa - Aravaca;94.0;Valdezarza;29404.0;12.61;62.67;24.71;33.14;30.0;35.2;119.3;10.21;1466.0;636;830;3633.0;1.424;2.209;9848.0;4.748;5.100;896.0;582;314;3.178;12.9;15881359.43;8350633.13;960.0;;Anual;35550.0
2016;Anual;9;Moncloa - Aravaca;97.0;Aravaca;25566.0;21.48;65.02;13.5;26.6;22.6;29.8;112.1;9.25;694.0;308;386;11206.0;4.442;6.764;9443.0;4.489;4.954;1372.0;780;592;3.178;12.9;15881359.43;8350633.13;762.0;2.0;Anual;68120.0
2016;Anual;9;Moncloa - Aravaca;91.0;Casa de Campo;12864.0;10.76;64.29;24.95;43.83;39.3;46.3;117.8;7.61;617.0;322;295;3702.0;1.726;1.976;4398.0;2.169;2.229;525.0;320;205;3.178;12.9;15881359.43;8350633.13;809.0;4.0;Anual;42565.0
2016;Anual;9;Moncloa - Aravaca;92.0;Argüelles;23935.0;10.02;65.03;24.96;39.54;32.1;43.8;122.0;12.05;918.0;425;493;17649.0;7.985;9.664;8436.0;3.974;4.462;1787.0;1.057;730;3.178;12.9;15881359.43;8350633.13;1463.0;17.0;Anual;52003.0
2017;Anual;9;Moncloa - Aravaca;96.0;El Plantío;2720.0;20.33;60.48;19.19;27.97;22.6;32.5;112.8;7.43;50.0;21;29;8910.0;4.567;4.343;1033.0;496;537;307.0;195;112;3.590;13.3;38063294.65;9693039.07;432.0;2.0;Anual;89215.0
2017;Anual;9;Moncloa - Aravaca;93.0;Ciudad Universitaria;16053.0;12.91;61.79;25.3;33.85;28.8;37.2;119.3;9.49;463.0;209;254;45927.0;16.957;28.970;5555.0;2.689;2.866;902.0;579;323;3.590;13.3;38063294.65;9693039.07;1825.0;33.0;Anual;60565.0
2017;Anual;9;Moncloa - Aravaca;95.0;Valdemarín;6413.0;28.96;60.69;10.35;35.09;22.9;43.2;116.9;9.39;129.0;48;81;7905.0;3.498;4.407;2474.0;1.198;1.276;395.0;211;184;3.590;13.3;38063294.65;9693039.07;212.0;7.0;Anual;88243.0
2017;Anual;9;Moncloa - Aravaca;94.0;Valdezarza;29246.0;12.55;62.45;25.0;34.14;31.2;36.1;118.9;10.26;1343.0;564;779;3674.0;1.486;2.188;10916.0;5.237;5.679;933.0;599;334;3.590;13.3;38063294.65;9693039.07;1855.0;;Anual;35983.0
2017;Anual;9;Moncloa - Aravaca;97.0;Aravaca;25699.0;21.14;64.84;14.02;26.57;21.9;30.3;111.8;9.21;647.0;291;356;11048.0;4.298;6.750;9755.0;4.624;5.131;1493.0;862;631;3.590;13.3;38063294.65;9693039.07;1404.0;2.0;Anual;69380.0
2017;Anual;9;Moncloa - Aravaca;91.0;Casa de Campo;12841.0;10.55;64.42;25.03;44.74;39.8;47.5;117.3;7.69;621.0;323;298;3836.0;1.826;2.010;4721.0;2.325;2.396;550.0;341;209;3.590;13.3;38063294.65;9693039.07;1531.0;4.0;Anual;42796.0
2017;Anual;9;Moncloa - Aravaca;92.0;Argüelles;23931.0;10.24;64.79;24.97;38.72;30.8;43.3;121.4;11.94;822.0;371;451;18197.0;8.280;9.917;8928.0;4.264;4.664;1948.0;1.154;794;3.590;13.3;38063294.65;9693039.07;2795.0;17.0;Anual;54446.0
2018;Anual;9;Moncloa - Aravaca;96.0;El Plantío;2720.0;19.93;60.4;19.67;25.61;21.4;29.3;111.3;8.09;58.0;21;37;9159.0;4.837;4.322;1040.0;506;534;346.0;226;120;3.803;14.6;82268842.32;27479756.83;230.0;2.0;Anual;91933.0
2018;Anual;9;Moncloa - Aravaca;93.0;Ciudad Universitaria;16097.0;12.75;61.76;25.48;33.23;28.8;36.1;120.1;9.32;416.0;185;231;46583.0;17.112;29.471;5470.0;2.654;2.816;606.0;361;245;3.803;14.6;82268842.32;27479756.83;986.0;36.0;Anual;65330.0
2018;Anual;9;Moncloa - Aravaca;95.0;Valdemarín;6560.0;28.46;60.91;10.63;33.72;21.2;42.5;117.4;9.47;118.0;47;71;7865.0;3.590;4.275;2461.0;1.173;1.288;259.0;157;102;3.803;14.6;82268842.32;27479756.83;127.0;7.0;Anual;90897.0
2018;Anual;9;Moncloa - Aravaca;94.0;Valdezarza;29418.0;12.61;62.39;24.99;34.72;31.3;37.0;118.6;10.41;1233.0;496;737;3577.0;1.424;2.153;10985.0;5.291;5.694;803.0;511;292;3.803;14.6;82268842.32;27479756.83;977.0;;Anual;37335.0
2018;Anual;9;Moncloa - Aravaca;97.0;Aravaca;26148.0;20.81;64.77;14.43;26.14;21.6;29.8;111.9;9.31;634.0;292;342;10458.0;3.774;6.684;9862.0;4.695;5.167;1164.0;692;472;3.803;14.6;82268842.32;27479756.83;766.0;2.0;Anual;72999.0
2018;Anual;9;Moncloa - Aravaca;91.0;Casa de Campo;12900.0;10.29;64.8;24.91;45.18;39.4;48.4;117.4;8.03;566.0;284;282;3740.0;1.742;1.998;4764.0;2.345;2.419;475.0;311;164;3.803;14.6;82268842.32;27479756.83;811.0;4.0;Anual;44964.0
2018;Anual;9;Moncloa - Aravaca;92.0;Argüelles;23992.0;10.05;64.75;25.2;38.59;30.5;43.4;120.3;11.82;771.0;352;419;17672.0;7.904;9.768;8905.0;4.309;4.596;1530.0;927;603;3.803;14.6;82268842.32;27479756.83;1474.0;17.0;Anual;55125.0
2019;Anual;9;Moncloa - Aravaca;96.0;El Plantío;2808.0;19.8;60.9;19.3;25.3;20.2;29.5;115.8;9.29;51.0;26;25;10111.0;5.207;4.904;1056.0;522;534;349.0;227;122;3.963;14.6;67048297.91;38963373.73;231.0;2.0;Anual;91479.0
2019;Anual;9;Moncloa - Aravaca;93.0;Ciudad Universitaria;16260.0;12.69;61.67;25.63;32.9;29.5;35.2;119.8;9.69;401.0;182;219;46766.0;17.231;29.535;5704.0;2.779;2.925;998.0;624;374;3.963;14.6;67048297.91;38963373.73;995.0;37.0;Anual;62812.0
2019;Anual;9;Moncloa - Aravaca;95.0;Valdemarín;6726.0;27.59;61.31;11.09;32.3;19.2;41.6;116.3;9.32;134.0;55;79;8319.0;3.737;4.582;2548.0;1.221;1.327;466.0;248;218;3.963;14.6;67048297.91;38963373.73;126.0;7.0;Anual;91479.0
2019;Anual;9;Moncloa - Aravaca;94.0;Valdezarza;29722.0;12.52;62.56;24.92;34.8;31.5;36.9;118.0;11.2;1309.0;552;757;3909.0;1.628;2.281;11260.0;5.508;5.752;1101.0;700;401;3.963;14.6;67048297.91;38963373.73;982.0;1.0;Anual;38660.0
2019;Anual;9;Moncloa - Aravaca;97.0;Aravaca;26823.0;20.24;64.8;14.96;26.7;21.6;30.6;112.6;9.83;677.0;290;387;11166.0;3.786;7.380;10283.0;4.898;5.385;1714.0;976;738;3.963;14.6;67048297.91;38963373.73;766.0;2.0;Anual;71356.0
2019;Anual;9;Moncloa - Aravaca;91.0;Casa de Campo;12991.0;10.13;64.86;25.01;44.0;37.2;47.8;117.9;8.57;558.0;285;273;4018.0;1.861;2.157;4946.0;2.445;2.501;648.0;403;245;3.963;14.6;67048297.91;38963373.73;821.0;4.0;Anual;46382.0
2019;Anual;9;Moncloa - Aravaca;92.0;Argüelles;24093.0;9.94;65.02;25.03;38.1;29.8;43.0;120.9;12.42;733.0;338;395;17961.0;8.256;9.705;9064.0;4.437;4.627;2095.0;1.241;854;3.963;14.6;67048297.91;38963373.73;1483.0;16.0;Anual;57820.0
2020;Anual;9;Moncloa - Aravaca;96.0;El Plantío;2799.0;18.69;61.59;19.72;24.5;20.8;27.4;117.0;9.5;65.0;27;38;9915.0;5.109;4.806;1097.0;529;568;351.0;220;131;3.912;14.4;31267496.42;26174120.27;236.0;2.0;Anual;89731.0
2020;Anual;9;Moncloa - Aravaca;93.0;Ciudad Universitaria;16395.0;12.41;62.31;25.29;32.8;29.6;34.8;119.1;10.08;539.0;227;312;47582.0;17.522;30.060;5834.0;2.827;3.007;1015.0;632;383;3.912;14.4;31267496.42;26174120.27;998.0;37.0;Anual;65088.0
2020;Anual;9;Moncloa - Aravaca;95.0;Valdemarín;6957.0;26.53;62.28;11.18;33.3;20.6;42.1;117.6;9.6;150.0;62;88;14334.0;6.549;7.785;2608.0;1.258;1.350;503.0;272;231;3.912;14.4;31267496.42;26174120.27;128.0;7.0;Anual;89731.0
2020;Anual;9;Moncloa - Aravaca;94.0;Valdezarza;30405.0;12.62;62.62;24.76;34.4;31.4;36.3;118.5;12.05;1648.0;712;936;3669.0;1.549;2.120;11534.0;5.667;5.867;1128.0;702;426;3.912;14.4;31267496.42;26174120.27;981.0;1.0;Anual;38630.0
2020;Anual;9;Moncloa - Aravaca;97.0;Aravaca;27503.0;19.73;64.94;15.33;27.0;22.0;31.0;113.2;10.28;851.0;357;494;11007.0;3.838;7.169;10472.0;5.047;5.425;1770.0;1.009;761;3.912;14.4;31267496.42;26174120.27;766.0;2.0;Anual;71212.0
2020;Anual;9;Moncloa - Aravaca;91.0;Casa de Campo;13201.0;9.95;65.12;24.92;42.6;35.3;46.9;115.9;9.7;688.0;342;346;4089.0;1.882;2.207;5027.0;2.489;2.538;664.0;412;252;3.912;14.4;31267496.42;26174120.27;829.0;4.0;Anual;46362.0
2020;Anual;9;Moncloa - Aravaca;92.0;Argüelles;24423.0;10.01;65.3;24.7;36.9;28.6;41.8;120.5;13.73;1006.0;458;548;17306.0;8.075;9.231;9244.0;4.519;4.725;2196.0;1.282;914;3.912;14.4;31267496.42;26174120.27;1499.0;19.0;Anual;56921.0
2013;Anual;6;Tetuán;64.0;Almenara;22110.0;12.85;65.58;21.57;42.24;38.2;44.6;118.2;14.42;2113.0;1.078;1.035;14958.0;7.582;7.376;7590.0;3.567;4.023;666.0;452;214;2.634;11.2;44538973.27;21184736.48;;;Anual;27278.7061824743
2013;Anual;6;Tetuán;65.0;Valdeacederas;25494.0;13.86;70.92;15.22;35.41;30.0;38.7;115.1;22.31;2135.0;1.106;1.029;3596.0;2.170;1.426;9942.0;4.596;5.346;905.0;655;250;2.634;11.2;44538973.27;21184736.48;;;Anual;26847.5047428857
2013;Anual;6;Tetuán;63.0;Castillejos;20397.0;10.13;66.52;23.35;37.65;34.3;39.8;121.0;16.05;1178.0;561;617;26050.0;13.795;12.255;7348.0;3.472;3.876;1680.0;1.077;603;2.634;11.2;44538973.27;21184736.48;;;Anual;43088.1252244618
2013;Anual;6;Tetuán;66.0;Berruguete;24357.0;13.3;69.61;17.09;38.18;34.5;40.2;122.5;23.97;1941.0;966;975;3662.0;1.931;1.731;9396.0;4.178;5.218;900.0;610;290;2.634;11.2;44538973.27;21184736.48;;;Anual;27221.0708321288
2013;Anual;6;Tetuán;61.0;Bellas Vistas;29074.0;12.51;69.39;18.1;37.83;31.6;41.4;119.4;24.79;2309.0;1.194;1.115;6418.0;3.114;3.304;10551.0;4.690;5.861;1092.0;733;359;2.634;11.2;44538973.27;21184736.48;;;Anual;29258.0087261599
2013;Anual;6;Tetuán;62.0;Cuatro Caminos;34252.0;10.74;66.7;22.56;37.57;32.6;40.4;124.3;15.91;2117.0;1.030;1.087;48195.0;24.312;23.883;12425.0;5.687;6.738;2451.0;1.614;837;2.634;11.2;44538973.27;21184736.48;;;Anual;40466.5976855013
2014;Anual;6;Tetuán;64.0;Almenara;21897.0;12.76;65.41;21.83;44.16;39.3;46.9;118.9;13.3;2000.0;967;1.033;13663.0;6.747;6.916;6759.0;3.129;3.630;722.0;487;235;2.575;11.4;12022573.58;8809151.31;1421.0;;Anual;27382.438904218
2014;Anual;6;Tetuán;65.0;Valdeacederas;24921.0;13.98;70.72;15.3;37.14;31.8;40.3;114.3;20.44;2065.0;1.052;1.013;3653.0;2.190;1.463;8732.0;4.038;4.694;962.0;693;269;2.575;11.4;12022573.58;8809151.31;1873.0;;Anual;26530.5724314932
