anio,periodo,codigodistrito,codigobarrio,nombrebarrio,datopoblacion,datopoblacionmenor16,datopoblacionentre16y64,datopoblacionmayor65,datosobreenvejecimiento,datosobreenvejecimientohombres,datosobreenvejecimientomujeres,datofeminidad,datorentamedia,datoparadosregistrados,datoparadosregistradoshombres,datoparadosregistradosmujer,datoafiliacionestrabajo,datoafiliacionestrabajohombres,datoafiliacionestrabajomujer,datoafiliacionesresidencia,datoafiliacionesresidenciahombres,datoafiliacionesresidenciamujer,datoautonomo,datoautonomoshombres,datoautonomosmujer,date,objectid_joined,coddis_joined,nomdis_joined,cod_bar_joined,nombre_joined,shape_leng_joined,cod_dis_tx_joined,barrio_may_joined,cod_disbar_joined,num_bar_joined,barrio_mt_joined,cod_disb_joined,shape_star_joined,shape_stle_joined
2022,Anual,8,81,El Pardo,3382,12.21,63.04,24.75,44.6,39.9,47.3,101,,119,58,61,335,175,160,1324,711,613,96,65,31,01/01/2022,260,8,Fuencarral - El Pardo,81,El Pardo,87226.06860511,8,EL PARDO,81,1,EL PARDO,8-1,187583377.386,87226.0686051
2022,Anual,8,82,Fuentelarreina,3346,17.54,56.37,26.09,34,33.3,34.5,121.2,,35,13,22,2025,796,1.229,1212,574,638,182,108,74,01/01/2022,253,8,Fuencarral - El Pardo,82,Fuentelarreina,7691.86516056,8,FUENTELARREINA,82,2,FUENTELARREINA,8-2,1382643.6267,7691.86516055
2022,Anual,8,83,Peñagrande,43887,12.99,59.87,27.15,27.8,25.1,29.8,115.4,,1405,595,810,10563,4.696,5.867,17140,8.274,8.866,1667,1.007,660,01/01/2022,251,8,Fuencarral - El Pardo,83,Peñagrande,7271.45604131,8,PEÑAGRANDE,83,3,PEÑAGRANDE,8-3,2887271.92863,7271.4560413
2022,Anual,8,84,Pilar,45354,10.67,60.33,29,36.5,34.2,37.9,119.7,,1641,667,974,6986,3.454,3.532,18241,8.835,9.406,1650,1.041,609,01/01/2022,250,8,Fuencarral - El Pardo,84,Pilar,5160.91105299,8,PILAR,84,4,PILAR,8-4,1363211.52237,5160.91105299
2022,Anual,8,85,La Paz,32346,11.44,53.03,35.53,22.7,22.1,23.1,114.8,,729,276,453,33061,13.551,19.51,11630,5.676,5.954,1190,741,449,01/01/2022,252,8,Fuencarral - El Pardo,85,La Paz,6331.49177142,8,LA PAZ,85,5,LA PAZ,8-5,2154754.78051,6331.49177142
2022,Anual,8,86,Valverde,63651,22.58,65.35,12.08,34.7,29.8,37.7,109.9,,2192,906,1.286,63103,35.093,28.01,27808,13.563,14.245,2413,1.499,914,01/01/2022,258,8,Fuencarral - El Pardo,86,Valverde,12214.17614034,8,VALVERDE,86,6,VALVERDE,8-6,8981228.48477,12214.1761403
2022,Anual,8,87,Mirasierra,35240,22.14,62.45,15.41,24.5,22.8,26,108.3,,726,288,438,17030,7.098,9.932,14020,6.928,7.092,1307,809,498,01/01/2022,257,8,Fuencarral - El Pardo,87,Mirasierra,13146.62548557,8,MIRASIERRA,87,7,MIRASIERRA,8-7,6992795.51725,13146.6254856
2022,Anual,8,88,El Goloso,19075,30.12,61.82,8.06,44.6,34.7,50.8,102.3,,364,139,225,5854,2.187,3.667,8272,4.113,4.159,671,394,277,01/01/2022,259,8,Fuencarral - El Pardo,88,El Goloso,26548.95608588,8,EL GOLOSO,88,8,EL GOLOSO,8-8,26493087.1432,26548.9560859
2022,Anual,9,91,Casa de Campo,12804,9.86,64.6,25.53,41,32.5,46.1,116,,445,212,233,4495,1.994,2.501,5183,2.556,2.627,632,393,239,01/01/2022,220,9,Moncloa - Aravaca,91,Casa de Campo,19242.53385054,9,CASA DE CAMPO,91,1,CASA DE CAMPO,9-1,17460617.3729,19242.5338505
2022,Anual,9,92,Argüelles,24165,9.94,65.45,24.61,35.6,27.1,40.8,119,,578,266,312,16978,8.077,8.901,9383,4.563,4.82,2081,1.216,865,01/01/2022,201,9,Moncloa - Aravaca,92,Argüelles,5290.48313353,9,ARGÜELLES,92,2,ARGÜELLES,9-2,757530.926595,5290.48313353
