CodigoBarrio;Anio;numero_alojamientos
212;2017;4
212;2018;4
212;2019;4
212;2020;4
212;2021;4
212;2022;4
213;2015;13
213;2016;15
213;2017;15
213;2018;15
213;2019;16
213;2020;16
213;2021;18
213;2022;18
214;2015;5
214;2016;6
214;2017;4
214;2018;4
214;2019;4
214;2020;4
214;2021;5
214;2022;5
215;2015;6
215;2016;6
215;2017;6
215;2018;6
215;2019;6
215;2020;5
215;2021;5
215;2022;4
22;2015;1
22;2016;1
22;2017;1
22;2018;1
22;2019;1
22;2020;2
22;2021;3
22;2022;6
23;2015;2
23;2016;2
23;2017;2
23;2018;1
23;2019;3
23;2020;5
23;2021;7
23;2022;7
24;2021;1
24;2022;5
25;2015;2
25;2016;2
25;2017;1
25;2018;1
25;2019;3
25;2020;2
25;2021;3
25;2022;3
26;2015;20
26;2016;22
26;2017;24
26;2018;23
26;2019;23
26;2020;23
26;2021;28
26;2022;33
27;2015;1
27;2016;1
27;2017;1
27;2018;1
27;2019;1
27;2020;2
27;2021;1
27;2022;1
28;2015;1
28;2016;2
28;2017;2
28;2018;2
28;2019;2
28;2020;2
28;2021;1
28;2022;2
31;2020;2
31;2021;1
31;2022;1
32;2015;3
32;2016;3
32;2017;3
32;2018;3
32;2019;3
32;2020;4
32;2021;4
32;2022;4
33;2015;2
33;2016;2
33;2017;1
33;2018;1
33;2019;1
33;2020;1
33;2021;1
33;2022;4
34;2020;1
34;2021;2
34;2022;3
35;2015;6
35;2016;6
35;2017;7
35;2018;8
35;2019;8
35;2020;8
35;2021;8
35;2022;8
36;2020;1
36;2021;2
36;2022;2
41;2015;21
41;2016;25
41;2017;23
41;2018;19
41;2019;18
41;2020;20
41;2021;20
41;2022;18
42;2015;5
42;2016;6
42;2017;6
42;2018;6
42;2019;6
42;2020;6
42;2021;5
42;2022;7
43;2018;1
43;2021;2
43;2022;2
44;2015;8
44;2016;8
44;2017;8
44;2018;9
44;2019;11
44;2020;18
44;2021;25
44;2022;26
45;2015;7
45;2016;7
45;2017;7
45;2018;8
45;2019;9
45;2020;10
45;2021;11
45;2022;11
46;2015;14
46;2016;14
46;2017;14
46;2018;14
