OID_;OBJECTID;CODDIS;NOMDIS;COD_BAR;NOMBRE;Shape_Leng;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;NUM_BAR;BARRIO_MT;COD_DISB;Shape_STAr;Shape_STLe
67;199;15;Ciudad Lineal;151;Ventas;8207,61972814;15;VENTAS;151;1;VENTAS;15-1;3198035,68537;8207,61972814
68;200;20;San Blas - Canillejas;202;Hellín;3989,9027957;20;HELLIN;202;2;HELLÍN;20-2;550556,079331;3989,9027957
69;201;9;Moncloa - Aravaca;92;Argüelles;5290,48313353;9;ARGÜELLES;92;2;ARGÜELLES;9-2;757530,926595;5290,48313353
70;202;4;Salamanca;45;Lista;3233,58399618;4;LISTA;45;5;LISTA;4-5;520214,542952;3233,58399618
71;203;15;Ciudad Lineal;152;Pueblo Nuevo;7746,68299859;15;PUEBLO NUEVO;152;2;PUEBLO NUEVO;15-2;2319216,42283;7746,68299859
72;204;4;Salamanca;46;Castellana;3746,20654909;4;CASTELLANA;46;6;CASTELLANA;4-6;773385,198112;3746,20654909
73;205;7;Chamberí;74;Almagro;4073,71546314;7;ALMAGRO;74;4;ALMAGRO;7-4;937940,694984;4073,71546314
74;206;7;Chamberí;73;Trafalgar;3505,63511346;7;TRAFALGAR;73;3;TRAFALGAR;7-3;611878,110237;3505,63511347
75;207;7;Chamberí;72;Arapiles;3096,15000842;7;ARAPILES;72;2;ARAPILES;7-2;578229,621477;3096,15000842
76;208;7;Chamberí;71;Gaztambide;2969,10754922;7;GAZTAMBIDE;71;1;GAZTAMBIDE;7-1;506477,728583;2969,10754922
77;209;15;Ciudad Lineal;153;Quintana;4438,48928039;15;QUINTANA;153;3;QUINTANA;15-3;723117,328149;4438,48928039
78;210;20;San Blas - Canillejas;201;Simancas;6683,59930249;20;SIMANCAS;201;1;SIMANCAS;20-1;2276342,63995;6683,59930249
79;211;4;Salamanca;44;Guindalera;5192,25222147;4;GUINDALERA;44;4;GUINDALERA;4-4;1602789,62946;5192,25222147
80;212;15;Ciudad Lineal;154;La Concepción;5775,72730249;15;LA CONCEPCION;154;4;LA CONCEPCIÓN;15-4;885910,75017;5775,72730249
81;213;7;Chamberí;75;Ríos Rosas;4063,12078034;7;RIOS ROSAS;75;5;RÍOS ROSAS;7-5;975419,853646;4063,12078034
82;214;7;Chamberí;76;Vallehermoso;4220,26344041;7;VALLEHERMOSO;76;6;VALLEHERMOSO;7-6;1069239,03785;4220,26344041
83;215;15;Ciudad Lineal;155;San Pascual;4456,0512678;15;SAN PASCUAL;155;5;SAN PASCUAL;15-5;1052724,59742;4456,0512678
84;216;20;San Blas - Canillejas;207;Canillejas;5438,21130749;20;CANILLEJAS;207;7;CANILLEJAS;20-7;1597706,22683;5438,21130749
85;217;20;San Blas - Canillejas;205;Rosas;16073,10844396;20;ROSAS;205;5;ROSAS;20-5;9296501,19119;16073,108444
86;218;20;San Blas - Canillejas;208;El Salvador;6577,50637931;20;EL SALVADOR;208;8;EL SALVADOR;20-8;1880110,03959;6577,50637931
87;219;20;San Blas - Canillejas;206;Rejas;13389,64872287;20;REJAS;206;6;REJAS;20-6;5015732,12195;13389,6487229
88;220;9;Moncloa - Aravaca;91;Casa de Campo;19242,53385054;9;CASA DE CAMPO;91;1;CASA DE CAMPO;9-1;17460617,3729;19242,5338505
89;221;5;Chamartín;51;El Viso;5270,83196557;5;EL VISO;51;1;EL VISO;5-1;1709232,75261;5270,83196557
90;222;5;Chamartín;53;Ciudad Jardín;3915,01692628;5;CIUDAD JARDIN;53;3;CIUDAD JARDÍN;5-3;762309,554636;3915,01692628
91;223;5;Chamartín;52;Prosperidad;5253,17416171;5;PROSPERIDAD;52;2;PROSPERIDAD;5-2;1040058,1802;5253,17416171
92;224;15;Ciudad Lineal;156;San Juan Bautista;4012,35095423;15;SAN JUAN BAUTISTA;156;6;SAN JUAN BAUTISTA;15-6;1010844,47491;4012,35095423
93;225;6;Tetuán;62;Cuatro Caminos;4354,62198029;6;CUATRO CAMINOS;62;2;CUATRO CAMINOS;6-2;1185033,9916;4354,62198029
94;226;16;Hortaleza;161;Palomas;4623,51429313;16;PALOMAS;161;1;PALOMAS;16-1;1068837,59185;4623,51429313
95;227;6;Tetuán;61;Bellas Vistas;3433,62540248;6;BELLAS VISTAS;61;1;BELLAS VISTAS;6-1;715169,658717;3433,62540248
96;228;5;Chamartín;54;Hispanoamérica;6079,00588174;5;HISPANOAMERICA;54;4;HISPANOAMÉRICA;5-4;1712523,61493;6079,00588174
97;229;16;Hortaleza;162;Piovera;7833,91163643;16;PIOVERA;162;2;PIOVERA;16-2;3139649,51166;7833,91163643
98;230;15;Ciudad Lineal;157;Colina;3175,56791319;15;COLINA;157;7;COLINA;15-7;559698,964963;3175,56791319
99;231;6;Tetuán;66;Berruguete;3421,08587877;6;BERRUGUETE;66;6;BERRUGUETE;6-6;607063,386778;3421,08587877
100;232;21;Barajas;211;Alameda de Osuna;6601,76635639;21;ALAMEDA DE OSUNA;211;1;ALAMEDA DE OSUNA;21-1;2031267,27563;6601,76635639
101;233;6;Tetuán;63;Castillejos;3547,92752664;6;CASTILLEJOS;63;3;CASTILLEJOS;6-3;704681,26477;3547,92752664
102;234;9;Moncloa - Aravaca;97;Aravaca;10869,46795468;9;ARAVACA;97;7;ARAVACA;9-7;5834041,44124;10869,4679547
103;235;15;Ciudad Lineal;158;Atalaya;2240,85086308;15;ATALAYA;158;8;ATALAYA;15-8;248882,748259;2240,85086308
104;236;5;Chamartín;55;Nueva España;5591,54147102;5;NUEVA ESPAÑA;55;5;NUEVA ESPAÑA;5-5;1790094,3563;5591,54147102
105;237;16;Hortaleza;163;Canillas;7568,37673333;16;CANILLAS;163;3;CANILLAS;16-3;2522508,91498;7568,37673333
106;238;21;Barajas;215;Corralejos;9654,79943122;21;CORRALEJOS;215;5;CORRALEJOS;21-5;4672511,63393;9654,79943122
107;239;9;Moncloa - Aravaca;94;Valdezarza;5347,7821719;9;VALDEZARZA;94;4;VALDEZARZA;9-4;1397455,73339;5347,78217191
108;240;6;Tetuán;65;Valdeacederas;5027,59763808;6;VALDEACEDERAS;65;5;VALDEACEDERAS;6-5;1163408,91308;5027,59763808
109;241;6;Tetuán;64;Almenara;4011,78365095;6;ALMENARA;64;4;ALMENARA;6-4;999367,231008;4011,78365096
110;242;9;Moncloa - Aravaca;95;Valdemarín;8289,75749118;9;VALDEMARIN;95;5;VALDEMARÍN;9-5;3302462,34272;8289,75749118
111;243;21;Barajas;213;Casco Histórico de Barajas;3388,64757052;21;CASCO HISTORICO DE BARAJAS;213;3;CASCO HISTÓRICO DE BARAJAS;21-3;549393,831216;3388,64757052
112;244;9;Moncloa - Aravaca;93;Ciudad Universitaria;19475,73451612;9;CIUDAD UNIVERSITARIA;93;3;CIUDAD UNIVERSITARIA;9-3;14250853,2398;19475,7345161
113;245;9;Moncloa - Aravaca;96;El Plantío;9950,43889734;9;EL PLANTIO;96;6;EL PLANTÍO;9-6;3528175,0947;9950,43889734
114;246;16;Hortaleza;164;Pinar del Rey;8208,58870022;16;PINAR DEL REY;164;4;PINAR DEL REY;16-4;2664766,71518;8208,58870022
115;247;16;Hortaleza;165;Apóstol Santiago;4724,24833028;16;APOSTOL SANTIAGO;165;5;APÓSTOL SANTIAGO;16-5;1205069,87543;4724,24833028
116;248;5;Chamartín;56;Castilla;6783,48023554;5;CASTILLA;56;6;CASTILLA;5-6;2161263,41933;6783,48023554
117;249;15;Ciudad Lineal;159;Costillares;5635,57542347;15;COSTILLARES;159;9;COSTILLARES;15-9;1427246,84756;5635,57542347
118;250;8;Fuencarral - El Pardo;84;Pilar;5160,91105299;8;PILAR;84;4;PILAR;8-4;1363211,52237;5160,91105299
119;251;8;Fuencarral - El Pardo;83;Peñagrande;7271,45604131;8;PEÑAGRANDE;83;3;PEÑAGRANDE;8-3;2887271,92863;7271,4560413
120;252;8;Fuencarral - El Pardo;85;La Paz;6331,49177142;8;LA PAZ;85;5;LA PAZ;8-5;2154754,78051;6331,49177142
121;253;8;Fuencarral - El Pardo;82;Fuentelarreina;7691,86516056;8;FUENTELARREINA;82;2;FUENTELARREINA;8-2;1382643,6267;7691,86516055
122;254;21;Barajas;214;Timón;10723,32145988;21;TIMON;214;4;TIMÓN;21-4;4798439,21996;10723,3214599
123;255;21;Barajas;212;Aeropuerto;28381,70053827;21;AEROPUERTO;212;2;AEROPUERTO;21-2;29664865,4328;28381,7005383
124;256;16;Hortaleza;166;Valdefuentes;19611,72010842;16;VALDEFUENTES;166;6;VALDEFUENTES;16-6;17025263,0124;19611,7201084
125;257;8;Fuencarral - El Pardo;87;Mirasierra;13146,62548557;8;MIRASIERRA;87;7;MIRASIERRA;8-7;6992795,51725;13146,6254856
126;258;8;Fuencarral - El Pardo;86;Valverde;12214,17614034;8;VALVERDE;86;6;VALVERDE;8-6;8981228,48477;12214,1761403
127;259;8;Fuencarral - El Pardo;88;El Goloso;26548,95608588;8;EL GOLOSO;88;8;EL GOLOSO;8-8;26493087,1432;26548,9560859
128;260;8;Fuencarral - El Pardo;81;El Pardo;87226,06860511;8;EL PARDO;81;1;EL PARDO;8-1;187583377,386;87226,0686051
129;261;19;Vicálvaro;191;Casco histórico de Vicálvaro;31101,74739896;19;CASCO HISTORICO DE VICALVARO;191;1;CASCO HISTÓRICO DE VICÁLVARO;19-1;21494220,3233;31101,747399
130;262;19;Vicálvaro;194;El Cañaveral;15928,20255864;19;EL CAÑAVERAL;194;4;EL CAÑAVERAL;19-4;10574251,7914;15928,2025586
