Año,Id Área,Nombre Área,Presupuesto Gasto,Gasto Real
2017,215,Ciudad Lineal,13027153.72,4260659.34
2017,212,Usera,19169181.21,5219469.23
2017,213,Puente de Vallecas,32168508.92,8138242.42
2017,210,Latina,20646397.63,9212077.12
2017,211,Carabanchel,26570776.52,14487291.06
2017,218,Villa de Vallecas,31378811.47,16284176.75
2017,219,Vicálvaro,13076366.9,4454468.35
2017,NN,Varios distritos,175483329.12,48793546.5
2017,201,Centro,29324768.17,11890433.47
2017,203,Retiro,11594969.19,4418290.29
2017,202,Arganzuela,19135752.52,4908600.86
2017,205,Chamartín,8222650.9,4071180.44
2017,204,Salamanca,11871832.96,2941420.28
2017,207,Chamberí,10916763.0,3964279.74
2017,206,Tetuán,56490181.31,28344862.13
2017,209,Moncloa-Aravaca,38063294.65,9693039.07
2017,208,Fuencarral-El Pardo,20830271.37,4223025.41
2017,221,Barajas,12064730.11,4501301.82
2017,220,San Blas-Canillejas,44615099.06,19652886.7
2017,NA,No distritalizable,16045834.54,5051435.91
2018,216,Hortaleza,41148437.5,8510491.83
2018,217,Villaverde,41450852.51,20207860.58
2018,214,Moratalaz,27029388.34,12294909.32
2018,215,Ciudad Lineal,14311768.42,6300997.87
2018,212,Usera,24359422.67,9546120.04
2018,213,Puente de Vallecas,45313167.68,14494365.57
2018,210,Latina,29942908.35,13791174.36
2018,211,Carabanchel,18575206.48,11719526.56
2018,218,Villa de Vallecas,22888007.95,12097477.9
2018,219,Vicálvaro,23318845.7,5717435.22
2018,NN,Varios distritos,212426046.9,79100710.5
2018,201,Centro,53193457.92,22559165.84
2018,203,Retiro,23654278.23,8050591.8
2018,202,Arganzuela,26391208.56,12054177.92
2018,205,Chamartín,16654056.2,3086192.27
2018,204,Salamanca,17330749.11,8943841.56
2018,207,Chamberí,27566914.03,8110523.68
2018,206,Tetuán,23958449.92,12887475.98
2018,209,Moncloa-Aravaca,82268842.32,27479756.83
2018,208,Fuencarral-El Pardo,49931212.45,29114968.52
2018,221,Barajas,16475952.68,6434784.31
2018,220,San Blas-Canillejas,35937495.35,10553021.39
2018,NA,No distritalizable,15669004.23,12375311.68
2019,216,Hortaleza,51846057.89,19602857.89
2019,217,Villaverde,40709197.39,20609881.11
2019,214,Moratalaz,30350139.94,12398633.17
2019,215,Ciudad Lineal,18791593.34,5794949.87
2019,212,Usera,31776150.45,9804681.64
2019,213,Puente de Vallecas,71754368.55,35273554.63
2019,210,Latina,31832355.16,17184510.42
2019,211,Carabanchel,29495996.0,12589911.49
2019,218,Villa de Vallecas,41382641.15,9825425.89
2019,219,Vicálvaro,22670447.11,13347219.54
2019,NN,Varios distritos,263340789.09,77975447.89
2019,201,Centro,51244363.57,22884043.81
2019,203,Retiro,33087890.86,11277737.85
2019,202,Arganzuela,35023150.25,12123012.61
2019,205,Chamartín,17568846.76,11457995.07
2019,204,Salamanca,10888383.27,4583967.72
2019,207,Chamberí,28430229.0,21641854.65
2019,206,Tetuán,19550689.87,6370277.96
2019,209,Moncloa-Aravaca,67048297.91,38963373.73
2019,208,Fuencarral-El Pardo,37601717.69,19284470.83
2019,221,Barajas,21528649.77,8354725.34
2019,220,San Blas-Canillejas,108122900.84,79656028.79
2019,NA,No distritalizable,15965585.33,8025198.4
2020,216,Hortaleza,35769829.08,17336163.13
2020,217,Villaverde,24911138.58,19378295.18
2020,214,Moratalaz,21717981.43,19838373.89
2020,215,Ciudad Lineal,11141099.47,5809410.83
2020,212,Usera,13344190.64,9713245.44
2020,213,Puente de Vallecas,27986661.45,21581691.74
2020,210,Latina,20454590.45,18950778.64
2020,211,Carabanchel,23191565.19,21920446.99
2020,218,Villa de Vallecas,39102038.92,28084860.8
2020,219,Vicálvaro,29209447.66,15879230.82
