Anio;Periodo;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;CodigoBarrio;CodigoDistrito;NombreBarrio;NombreDistrito
2015;Anual;2.574;2.817;51;5;El Viso;Chamartín
2016;Anual;3.034;3.186;51;5;El Viso;Chamartín
2017;Anual;3.197;3.305;51;5;El Viso;Chamartín
2018;Anual;3.186;3.316;51;5;El Viso;Chamartín
2019;Anual;3.334;3.419;51;5;El Viso;Chamartín
2020;Anual;3.306;3.498;51;5;El Viso;Chamartín
2021;Anual;3.298;3.559;51;5;El Viso;Chamartín
2013;Anual;1.951;2.060;91;9;Casa de Campo;Moncloa - Aravaca
2014;Anual;1.716;1.837;91;9;Casa de Campo;Moncloa - Aravaca
2015;Anual;1.712;1.849;91;9;Casa de Campo;Moncloa - Aravaca
2016;Anual;2.169;2.229;91;9;Casa de Campo;Moncloa - Aravaca
2017;Anual;2.325;2.396;91;9;Casa de Campo;Moncloa - Aravaca
2018;Anual;2.345;2.419;91;9;Casa de Campo;Moncloa - Aravaca
2019;Anual;2.445;2.501;91;9;Casa de Campo;Moncloa - Aravaca
2020;Anual;2.489;2.538;91;9;Casa de Campo;Moncloa - Aravaca
2021;Anual;2.541;2.585;91;9;Casa de Campo;Moncloa - Aravaca
2022;Anual;2.556;2.627;91;9;Casa de Campo;Moncloa - Aravaca
2013;Anual;3.163;2.976;206;20;Rejas;San Blas - Canillejas
2014;Anual;2.836;2.747;206;20;Rejas;San Blas - Canillejas
2015;Anual;2.872;2.728;206;20;Rejas;San Blas - Canillejas
2016;Anual;3.258;3.121;206;20;Rejas;San Blas - Canillejas
2017;Anual;3.525;3.445;206;20;Rejas;San Blas - Canillejas
2018;Anual;3.543;3.436;206;20;Rejas;San Blas - Canillejas
2019;Anual;3.730;3.579;206;20;Rejas;San Blas - Canillejas
2020;Anual;3.916;3.666;206;20;Rejas;San Blas - Canillejas
2021;Anual;3.929;3.717;206;20;Rejas;San Blas - Canillejas
2022;Anual;3.952;3.846;206;20;Rejas;San Blas - Canillejas
2013;Anual;2.167;2.286;208;20;El Salvador;San Blas - Canillejas
2014;Anual;1.925;1.985;208;20;El Salvador;San Blas - Canillejas
2015;Anual;1.915;2.023;208;20;El Salvador;San Blas - Canillejas
2016;Anual;2.165;2.244;208;20;El Salvador;San Blas - Canillejas
2017;Anual;2.195;2.284;208;20;El Salvador;San Blas - Canillejas
2018;Anual;2.208;2.295;208;20;El Salvador;San Blas - Canillejas
2019;Anual;2.278;2.274;208;20;El Salvador;San Blas - Canillejas
2020;Anual;2.286;2.338;208;20;El Salvador;San Blas - Canillejas
2021;Anual;2.249;2.295;208;20;El Salvador;San Blas - Canillejas
2022;Anual;2.287;2.365;208;20;El Salvador;San Blas - Canillejas
2013;Anual;6.785;6.496;205;20;Rosas;San Blas - Canillejas
2014;Anual;5.982;5.799;205;20;Rosas;San Blas - Canillejas
2015;Anual;6.018;5.903;205;20;Rosas;San Blas - Canillejas
2016;Anual;6.723;6.595;205;20;Rosas;San Blas - Canillejas
2017;Anual;6.814;6.732;205;20;Rosas;San Blas - Canillejas
2018;Anual;6.854;6.820;205;20;Rosas;San Blas - Canillejas
2019;Anual;6.948;7.017;205;20;Rosas;San Blas - Canillejas
2020;Anual;7.050;7.096;205;20;Rosas;San Blas - Canillejas
2021;Anual;6.879;7.027;205;20;Rosas;San Blas - Canillejas
2022;Anual;6.950;7.227;205;20;Rosas;San Blas - Canillejas
2013;Anual;4.970;5.337;207;20;Canillejas;San Blas - Canillejas
2014;Anual;4.329;4.790;207;20;Canillejas;San Blas - Canillejas
2015;Anual;4.367;4.803;207;20;Canillejas;San Blas - Canillejas
2016;Anual;4.957;5.396;207;20;Canillejas;San Blas - Canillejas
2017;Anual;5.106;5.514;207;20;Canillejas;San Blas - Canillejas
2018;Anual;5.259;5.599;207;20;Canillejas;San Blas - Canillejas
2019;Anual;5.418;5.714;207;20;Canillejas;San Blas - Canillejas
2020;Anual;5.566;5.742;207;20;Canillejas;San Blas - Canillejas
2021;Anual;5.424;5.668;207;20;Canillejas;San Blas - Canillejas
2022;Anual;5.576;5.876;207;20;Canillejas;San Blas - Canillejas
2013;Anual;3.092;3.543;155;15;San Pascual;Ciudad Lineal
2014;Anual;2.615;3.078;155;15;San Pascual;Ciudad Lineal
2015;Anual;2.652;3.116;155;15;San Pascual;Ciudad Lineal
2016;Anual;3.054;3.490;155;15;San Pascual;Ciudad Lineal
2017;Anual;3.192;3.669;155;15;San Pascual;Ciudad Lineal
2018;Anual;3.210;3.665;155;15;San Pascual;Ciudad Lineal
2019;Anual;3.294;3.675;155;15;San Pascual;Ciudad Lineal
2020;Anual;3.310;3.676;155;15;San Pascual;Ciudad Lineal
2021;Anual;3.256;3.564;155;15;San Pascual;Ciudad Lineal
2022;Anual;3.288;3.564;155;15;San Pascual;Ciudad Lineal
2013;Anual;2.993;3.711;76;7;Vallehermoso;Chamberí
2014;Anual;2.708;3.318;76;7;Vallehermoso;Chamberí
2015;Anual;2.692;3.258;76;7;Vallehermoso;Chamberí
2016;Anual;3.062;3.688;76;7;Vallehermoso;Chamberí
2017;Anual;3.222;3.873;76;7;Vallehermoso;Chamberí
2018;Anual;3.253;3.832;76;7;Vallehermoso;Chamberí
2019;Anual;3.348;3.928;76;7;Vallehermoso;Chamberí
2020;Anual;3.429;4.033;76;7;Vallehermoso;Chamberí
2021;Anual;3.475;4.028;76;7;Vallehermoso;Chamberí
2022;Anual;3.599;4.063;76;7;Vallehermoso;Chamberí
2013;Anual;4.473;5.532;75;7;Ríos Rosas;Chamberí
2014;Anual;3.940;4.866;75;7;Ríos Rosas;Chamberí
2015;Anual;3.955;4.806;75;7;Ríos Rosas;Chamberí
2016;Anual;4.527;5.431;75;7;Ríos Rosas;Chamberí
2017;Anual;4.891;5.810;75;7;Ríos Rosas;Chamberí
2018;Anual;4.901;5.736;75;7;Ríos Rosas;Chamberí
2019;Anual;5.093;5.918;75;7;Ríos Rosas;Chamberí
2020;Anual;5.273;6.000;75;7;Ríos Rosas;Chamberí
2021;Anual;5.245;6.008;75;7;Ríos Rosas;Chamberí
2022;Anual;5.287;6.029;75;7;Ríos Rosas;Chamberí
2013;Anual;3.391;3.938;154;15;La Concepción;Ciudad Lineal
2014;Anual;2.972;3.485;154;15;La Concepción;Ciudad Lineal
2015;Anual;2.967;3.403;154;15;La Concepción;Ciudad Lineal
2016;Anual;3.400;3.901;154;15;La Concepción;Ciudad Lineal
2017;Anual;3.629;4.185;154;15;La Concepción;Ciudad Lineal
2018;Anual;3.666;4.134;154;15;La Concepción;Ciudad Lineal
2019;Anual;3.843;4.305;154;15;La Concepción;Ciudad Lineal
2020;Anual;3.908;4.336;154;15;La Concepción;Ciudad Lineal
2021;Anual;3.868;4.325;154;15;La Concepción;Ciudad Lineal
2022;Anual;3.990;4.427;154;15;La Concepción;Ciudad Lineal
2013;Anual;7.049;7.961;44;4;Guindalera;Salamanca
2014;Anual;6.251;7.041;44;4;Guindalera;Salamanca
2015;Anual;6.249;6.932;44;4;Guindalera;Salamanca
2016;Anual;7.201;7.830;44;4;Guindalera;Salamanca
2017;Anual;7.694;8.363;44;4;Guindalera;Salamanca
2018;Anual;7.716;8.346;44;4;Guindalera;Salamanca
2019;Anual;8.142;8.589;44;4;Guindalera;Salamanca
2020;Anual;8.238;8.643;44;4;Guindalera;Salamanca
2021;Anual;8.317;8.722;44;4;Guindalera;Salamanca
2022;Anual;8.508;8.973;44;4;Guindalera;Salamanca
2013;Anual;4.356;4.742;201;20;Simancas;San Blas - Canillejas
2014;Anual;4.126;4.532;201;20;Simancas;San Blas - Canillejas
2015;Anual;4.144;4.500;201;20;Simancas;San Blas - Canillejas
2016;Anual;4.811;5.161;201;20;Simancas;San Blas - Canillejas
2017;Anual;5.147;5.595;201;20;Simancas;San Blas - Canillejas
2018;Anual;5.268;5.623;201;20;Simancas;San Blas - Canillejas
2019;Anual;5.524;5.947;201;20;Simancas;San Blas - Canillejas
2020;Anual;5.748;6.106;201;20;Simancas;San Blas - Canillejas
2021;Anual;5.779;6.034;201;20;Simancas;San Blas - Canillejas
2022;Anual;5.924;6.236;201;20;Simancas;San Blas - Canillejas
2013;Anual;3.928;4.955;153;15;Quintana;Ciudad Lineal
2014;Anual;3.335;4.360;153;15;Quintana;Ciudad Lineal
2015;Anual;3.324;4.288;153;15;Quintana;Ciudad Lineal
2016;Anual;3.998;4.891;153;15;Quintana;Ciudad Lineal
2017;Anual;4.244;5.088;153;15;Quintana;Ciudad Lineal
2018;Anual;4.315;5.188;153;15;Quintana;Ciudad Lineal
2019;Anual;4.603;5.381;153;15;Quintana;Ciudad Lineal
2020;Anual;4.724;5.437;153;15;Quintana;Ciudad Lineal
2021;Anual;4.690;5.427;153;15;Quintana;Ciudad Lineal
2022;Anual;4.842;5.524;153;15;Quintana;Ciudad Lineal
2013;Anual;3.679;4.489;71;7;Gaztambide;Chamberí
2014;Anual;3.262;3.896;71;7;Gaztambide;Chamberí
2015;Anual;3.261;3.820;71;7;Gaztambide;Chamberí
2016;Anual;3.668;4.406;71;7;Gaztambide;Chamberí
2017;Anual;3.845;4.609;71;7;Gaztambide;Chamberí
2018;Anual;3.931;4.491;71;7;Gaztambide;Chamberí
2019;Anual;4.082;4.598;71;7;Gaztambide;Chamberí
2020;Anual;4.234;4.720;71;7;Gaztambide;Chamberí
2021;Anual;4.255;4.848;71;7;Gaztambide;Chamberí
2022;Anual;4.295;4.836;71;7;Gaztambide;Chamberí
2013;Anual;4.156;4.964;72;7;Arapiles;Chamberí
2014;Anual;3.613;4.307;72;7;Arapiles;Chamberí
2015;Anual;3.609;4.204;72;7;Arapiles;Chamberí
2016;Anual;4.127;4.756;72;7;Arapiles;Chamberí
2017;Anual;4.400;5.070;72;7;Arapiles;Chamberí
2018;Anual;4.415;5.018;72;7;Arapiles;Chamberí
2019;Anual;4.626;5.125;72;7;Arapiles;Chamberí
2020;Anual;4.774;5.161;72;7;Arapiles;Chamberí
2021;Anual;4.834;5.192;72;7;Arapiles;Chamberí
2022;Anual;4.852;5.235;72;7;Arapiles;Chamberí
2013;Anual;4.291;5.177;73;7;Trafalgar;Chamberí
2014;Anual;3.726;4.568;73;7;Trafalgar;Chamberí
2015;Anual;3.673;4.474;73;7;Trafalgar;Chamberí
2016;Anual;4.338;5.138;73;7;Trafalgar;Chamberí
2017;Anual;4.713;5.546;73;7;Trafalgar;Chamberí
2018;Anual;4.741;5.464;73;7;Trafalgar;Chamberí
2019;Anual;4.920;5.534;73;7;Trafalgar;Chamberí
2020;Anual;5.036;5.616;73;7;Trafalgar;Chamberí
2021;Anual;4.992;5.589;73;7;Trafalgar;Chamberí
2022;Anual;5.058;5.670;73;7;Trafalgar;Chamberí
2013;Anual;3.181;3.711;74;7;Almagro;Chamberí
2014;Anual;2.868;3.281;74;7;Almagro;Chamberí
2015;Anual;2.835;3.254;74;7;Almagro;Chamberí
2016;Anual;3.380;3.745;74;7;Almagro;Chamberí
2017;Anual;3.556;3.936;74;7;Almagro;Chamberí
2018;Anual;3.557;3.935;74;7;Almagro;Chamberí
2019;Anual;3.675;3.990;74;7;Almagro;Chamberí
2020;Anual;3.698;4.074;74;7;Almagro;Chamberí
2021;Anual;3.658;4.015;74;7;Almagro;Chamberí
2022;Anual;3.725;4.018;74;7;Almagro;Chamberí
2013;Anual;2.601;3.133;46;4;Castellana;Salamanca
2014;Anual;2.338;2.769;46;4;Castellana;Salamanca
2015;Anual;2.329;2.716;46;4;Castellana;Salamanca
2016;Anual;2.725;3.086;46;4;Castellana;Salamanca
2017;Anual;2.757;3.229;46;4;Castellana;Salamanca
2018;Anual;2.779;3.270;46;4;Castellana;Salamanca
2019;Anual;2.862;3.296;46;4;Castellana;Salamanca
2020;Anual;2.920;3.259;46;4;Castellana;Salamanca
2021;Anual;2.866;3.247;46;4;Castellana;Salamanca
2022;Anual;2.895;3.248;46;4;Castellana;Salamanca
2013;Anual;10.548;11.908;152;15;Pueblo Nuevo;Ciudad Lineal
2014;Anual;9.129;10.526;152;15;Pueblo Nuevo;Ciudad Lineal
2015;Anual;9.135;10.490;152;15;Pueblo Nuevo;Ciudad Lineal
2016;Anual;10.579;11.966;152;15;Pueblo Nuevo;Ciudad Lineal
2017;Anual;11.080;12.541;152;15;Pueblo Nuevo;Ciudad Lineal
2018;Anual;11.327;12.651;152;15;Pueblo Nuevo;Ciudad Lineal
2019;Anual;11.906;13.202;152;15;Pueblo Nuevo;Ciudad Lineal
2020;Anual;12.224;13.232;152;15;Pueblo Nuevo;Ciudad Lineal
2021;Anual;12.101;13.110;152;15;Pueblo Nuevo;Ciudad Lineal
2022;Anual;12.419;13.553;152;15;Pueblo Nuevo;Ciudad Lineal
2013;Anual;3.342;3.866;45;4;Lista;Salamanca
2014;Anual;2.930;3.479;45;4;Lista;Salamanca
2015;Anual;2.893;3.405;45;4;Lista;Salamanca
2016;Anual;3.279;3.902;45;4;Lista;Salamanca
2017;Anual;3.458;4.160;45;4;Lista;Salamanca
2018;Anual;3.507;4.158;45;4;Lista;Salamanca
2019;Anual;3.704;4.340;45;4;Lista;Salamanca
2020;Anual;3.751;4.310;45;4;Lista;Salamanca
2021;Anual;3.655;4.298;45;4;Lista;Salamanca
2022;Anual;3.763;4.368;45;4;Lista;Salamanca
2013;Anual;4.021;4.496;92;9;Argüelles;Moncloa - Aravaca
2014;Anual;3.504;3.921;92;9;Argüelles;Moncloa - Aravaca
2015;Anual;3.480;3.877;92;9;Argüelles;Moncloa - Aravaca
2016;Anual;3.974;4.462;92;9;Argüelles;Moncloa - Aravaca
2017;Anual;4.264;4.664;92;9;Argüelles;Moncloa - Aravaca
2018;Anual;4.309;4.596;92;9;Argüelles;Moncloa - Aravaca
2019;Anual;4.437;4.627;92;9;Argüelles;Moncloa - Aravaca
2020;Anual;4.519;4.725;92;9;Argüelles;Moncloa - Aravaca
2021;Anual;4.541;4.736;92;9;Argüelles;Moncloa - Aravaca
2022;Anual;4.563;4.820;92;9;Argüelles;Moncloa - Aravaca
2013;Anual;1.371;1.429;202;20;Hellín;San Blas - Canillejas
2014;Anual;1.191;1.227;202;20;Hellín;San Blas - Canillejas
2015;Anual;1.212;1.252;202;20;Hellín;San Blas - Canillejas
2016;Anual;1.371;1.478;202;20;Hellín;San Blas - Canillejas
2017;Anual;1.540;1.589;202;20;Hellín;San Blas - Canillejas
2018;Anual;1.601;1.650;202;20;Hellín;San Blas - Canillejas
2019;Anual;1.668;1.721;202;20;Hellín;San Blas - Canillejas
2020;Anual;1.739;1.798;202;20;Hellín;San Blas - Canillejas
2021;Anual;1.679;1.799;202;20;Hellín;San Blas - Canillejas
2022;Anual;1.826;1.906;202;20;Hellín;San Blas - Canillejas
2013;Anual;7.792;9.301;151;15;Ventas;Ciudad Lineal
2014;Anual;6.736;8.205;151;15;Ventas;Ciudad Lineal
2015;Anual;6.800;8.124;151;15;Ventas;Ciudad Lineal
2016;Anual;7.700;9.191;151;15;Ventas;Ciudad Lineal
2017;Anual;8.254;9.636;151;15;Ventas;Ciudad Lineal
2018;Anual;8.436;9.647;151;15;Ventas;Ciudad Lineal
2019;Anual;8.857;10.082;151;15;Ventas;Ciudad Lineal
2020;Anual;9.130;10.220;151;15;Ventas;Ciudad Lineal
2021;Anual;9.165;10.208;151;15;Ventas;Ciudad Lineal
2022;Anual;9.402;10.582;151;15;Ventas;Ciudad Lineal
2013;Anual;3.595;4.345;43;4;Fuente del Berro;Salamanca
2014;Anual;3.152;3.786;43;4;Fuente del Berro;Salamanca
2015;Anual;3.155;3.755;43;4;Fuente del Berro;Salamanca
2016;Anual;3.597;4.204;43;4;Fuente del Berro;Salamanca
2017;Anual;3.749;4.455;43;4;Fuente del Berro;Salamanca
2018;Anual;3.798;4.460;43;4;Fuente del Berro;Salamanca
2019;Anual;3.920;4.583;43;4;Fuente del Berro;Salamanca
2020;Anual;4.049;4.661;43;4;Fuente del Berro;Salamanca
2021;Anual;4.036;4.592;43;4;Fuente del Berro;Salamanca
2022;Anual;4.102;4.667;43;4;Fuente del Berro;Salamanca
2013;Anual;6.339;6.480;15;1;Universidad;Centro
2014;Anual;5.451;5.631;15;1;Universidad;Centro
2015;Anual;5.357;5.489;15;1;Universidad;Centro
2016;Anual;6.315;6.187;15;1;Universidad;Centro
2017;Anual;6.938;6.679;15;1;Universidad;Centro
2018;Anual;6.843;6.535;15;1;Universidad;Centro
2019;Anual;7.104;6.720;15;1;Universidad;Centro
2020;Anual;7.492;6.720;15;1;Universidad;Centro
2021;Anual;7.888;6.720;15;1;Universidad;Centro
2022;Anual;8.244;7.229;15;1;Universidad;Centro
2013;Anual;2.527;2.765;41;4;Recoletos;Salamanca
2014;Anual;2.149;2.417;41;4;Recoletos;Salamanca
2015;Anual;2.162;2.406;41;4;Recoletos;Salamanca
2016;Anual;2.545;2.786;41;4;Recoletos;Salamanca
2017;Anual;2.637;2.917;41;4;Recoletos;Salamanca
2018;Anual;2.614;2.902;41;4;Recoletos;Salamanca
2019;Anual;2.688;2.904;41;4;Recoletos;Salamanca
2020;Anual;2.722;2.851;41;4;Recoletos;Salamanca
2021;Anual;2.691;2.853;41;4;Recoletos;Salamanca
2022;Anual;2.743;2.861;41;4;Recoletos;Salamanca
2013;Anual;3.455;3.235;14;1;Justicia;Centro
2014;Anual;2.989;2.798;14;1;Justicia;Centro
2015;Anual;2.932;2.686;14;1;Justicia;Centro
2016;Anual;3.385;3.092;14;1;Justicia;Centro
2017;Anual;3.709;3.319;14;1;Justicia;Centro
2018;Anual;3.654;3.272;14;1;Justicia;Centro
2019;Anual;3.831;3.335;14;1;Justicia;Centro
2020;Anual;4.053;3.335;14;1;Justicia;Centro
2021;Anual;4.288;3.335;14;1;Justicia;Centro
2022;Anual;4.505;3.658;14;1;Justicia;Centro
2013;Anual;1.228;1.344;203;20;Amposta;San Blas - Canillejas
2014;Anual;1.074;1.161;203;20;Amposta;San Blas - Canillejas
2015;Anual;1.071;1.193;203;20;Amposta;San Blas - Canillejas
2016;Anual;1.225;1.387;203;20;Amposta;San Blas - Canillejas
2017;Anual;1.299;1.518;203;20;Amposta;San Blas - Canillejas
2018;Anual;1.387;1.522;203;20;Amposta;San Blas - Canillejas
2019;Anual;1.471;1.600;203;20;Amposta;San Blas - Canillejas
2020;Anual;1.533;1.650;203;20;Amposta;San Blas - Canillejas
2021;Anual;1.575;1.627;203;20;Amposta;San Blas - Canillejas
2022;Anual;1.639;1.730;203;20;Amposta;San Blas - Canillejas
2013;Anual;4.759;5.773;42;4;Goya;Salamanca
2014;Anual;4.220;5.074;42;4;Goya;Salamanca
2015;Anual;4.253;4.977;42;4;Goya;Salamanca
2016;Anual;4.808;5.796;42;4;Goya;Salamanca
2017;Anual;5.131;6.140;42;4;Goya;Salamanca
2018;Anual;5.126;6.065;42;4;Goya;Salamanca
2019;Anual;5.306;6.277;42;4;Goya;Salamanca
2020;Anual;5.365;6.210;42;4;Goya;Salamanca
2021;Anual;5.304;6.209;42;4;Goya;Salamanca
2022;Anual;5.504;6.228;42;4;Goya;Salamanca
2013;Anual;4.054;4.222;204;20;Arcos;San Blas - Canillejas
2014;Anual;3.571;3.764;204;20;Arcos;San Blas - Canillejas
2015;Anual;3.685;3.835;204;20;Arcos;San Blas - Canillejas
2016;Anual;4.232;4.391;204;20;Arcos;San Blas - Canillejas
2017;Anual;4.500;4.654;204;20;Arcos;San Blas - Canillejas
2018;Anual;4.663;4.775;204;20;Arcos;San Blas - Canillejas
2019;Anual;4.836;4.967;204;20;Arcos;San Blas - Canillejas
2020;Anual;4.922;5.036;204;20;Arcos;San Blas - Canillejas
2021;Anual;4.865;4.994;204;20;Arcos;San Blas - Canillejas
2022;Anual;5.167;5.260;204;20;Arcos;San Blas - Canillejas
2013;Anual;4.379;4.214;11;1;Palacio;Centro
2014;Anual;3.834;3.753;11;1;Palacio;Centro
2015;Anual;3.806;3.683;11;1;Palacio;Centro
2016;Anual;4.401;4.308;11;1;Palacio;Centro
2017;Anual;4.754;4.556;11;1;Palacio;Centro
2018;Anual;4.802;4.534;11;1;Palacio;Centro
2019;Anual;4.929;4.613;11;1;Palacio;Centro
2020;Anual;5.165;4.613;11;1;Palacio;Centro
2021;Anual;5.191;4.613;11;1;Palacio;Centro
2022;Anual;5.380;4.788;11;1;Palacio;Centro
2013;Anual;3.625;4.259;34;3;Ibiza;Retiro
2014;Anual;3.259;3.687;34;3;Ibiza;Retiro
2015;Anual;3.234;3.632;34;3;Ibiza;Retiro
2016;Anual;3.651;4.106;34;3;Ibiza;Retiro
2017;Anual;3.914;4.299;34;3;Ibiza;Retiro
2018;Anual;3.852;4.274;34;3;Ibiza;Retiro
2019;Anual;3.907;4.410;34;3;Ibiza;Retiro
2020;Anual;3.960;4.452;34;3;Ibiza;Retiro
2021;Anual;3.970;4.447;34;3;Ibiza;Retiro
2022;Anual;4.025;4.458;34;3;Ibiza;Retiro
2013;Anual;1.125;1.174;35;3;Los Jerónimos;Retiro
2014;Anual;992;1.007;35;3;Los Jerónimos;Retiro
2015;Anual;989;997;35;3;Los Jerónimos;Retiro
2016;Anual;1.161;1.146;35;3;Los Jerónimos;Retiro
2017;Anual;1.225;1.203;35;3;Los Jerónimos;Retiro
2018;Anual;1.212;1.193;35;3;Los Jerónimos;Retiro
2019;Anual;1.251;1.214;35;3;Los Jerónimos;Retiro
2020;Anual;1.223;1.218;35;3;Los Jerónimos;Retiro
2021;Anual;1.217;1.214;35;3;Los Jerónimos;Retiro
2022;Anual;1.234;1.252;35;3;Los Jerónimos;Retiro
2013;Anual;4.023;4.240;33;3;Estrella;Retiro
2014;Anual;3.513;3.775;33;3;Estrella;Retiro
2015;Anual;3.529;3.723;33;3;Estrella;Retiro
2016;Anual;4.002;4.223;33;3;Estrella;Retiro
2017;Anual;3.999;4.319;33;3;Estrella;Retiro
2018;Anual;3.997;4.351;33;3;Estrella;Retiro
2019;Anual;4.050;4.375;33;3;Estrella;Retiro
2020;Anual;4.104;4.340;33;3;Estrella;Retiro
2021;Anual;4.067;4.394;33;3;Estrella;Retiro
2022;Anual;4.194;4.399;33;3;Estrella;Retiro
2013;Anual;1.526;1.407;16;1;Sol;Centro
2014;Anual;1.328;1.168;16;1;Sol;Centro
2015;Anual;1.336;1.141;16;1;Sol;Centro
2016;Anual;1.480;1.295;16;1;Sol;Centro
2017;Anual;1.603;1.386;16;1;Sol;Centro
2018;Anual;1.596;1.369;16;1;Sol;Centro
2019;Anual;1.623;1.373;16;1;Sol;Centro
2020;Anual;1.699;1.373;16;1;Sol;Centro
2021;Anual;1.678;1.373;16;1;Sol;Centro
2022;Anual;1.825;1.470;16;1;Sol;Centro
2013;Anual;2.138;1.994;13;1;Cortes;Centro
2014;Anual;1.842;1.785;13;1;Cortes;Centro
2015;Anual;1.793;1.744;13;1;Cortes;Centro
2016;Anual;2.086;1.996;13;1;Cortes;Centro
2017;Anual;2.350;2.128;13;1;Cortes;Centro
2018;Anual;2.341;2.108;13;1;Cortes;Centro
2019;Anual;2.388;2.135;13;1;Cortes;Centro
2020;Anual;2.439;2.135;13;1;Cortes;Centro
2021;Anual;2.443;2.135;13;1;Cortes;Centro
2022;Anual;2.522;2.137;13;1;Cortes;Centro
2013;Anual;2.935;3.192;144;14;Media Legua;Moratalaz
2014;Anual;2.539;2.798;144;14;Media Legua;Moratalaz
2015;Anual;2.561;2.801;144;14;Media Legua;Moratalaz
2016;Anual;2.919;3.183;144;14;Media Legua;Moratalaz
2017;Anual;2.961;3.210;144;14;Media Legua;Moratalaz
2018;Anual;2.985;3.188;144;14;Media Legua;Moratalaz
2019;Anual;3.027;3.284;144;14;Media Legua;Moratalaz
2020;Anual;3.062;3.307;144;14;Media Legua;Moratalaz
2021;Anual;2.999;3.260;144;14;Media Legua;Moratalaz
2022;Anual;3.048;3.306;144;14;Media Legua;Moratalaz
2013;Anual;6.776;7.925;102;10;Puerta del Ángel;Latina
2014;Anual;5.925;7.024;102;10;Puerta del Ángel;Latina
2015;Anual;5.910;6.940;102;10;Puerta del Ángel;Latina
2016;Anual;6.797;7.981;102;10;Puerta del Ángel;Latina
2017;Anual;7.316;8.341;102;10;Puerta del Ángel;Latina
2018;Anual;7.444;8.408;102;10;Puerta del Ángel;Latina
2019;Anual;7.798;8.666;102;10;Puerta del Ángel;Latina
2020;Anual;7.903;8.725;102;10;Puerta del Ángel;Latina
2021;Anual;7.741;8.579;102;10;Puerta del Ángel;Latina
2022;Anual;8.091;8.869;102;10;Puerta del Ángel;Latina
2013;Anual;2.618;2.789;36;3;Niño Jesús;Retiro
2014;Anual;2.315;2.484;36;3;Niño Jesús;Retiro
2015;Anual;2.300;2.476;36;3;Niño Jesús;Retiro
2016;Anual;2.642;2.793;36;3;Niño Jesús;Retiro
2017;Anual;2.730;2.869;36;3;Niño Jesús;Retiro
2018;Anual;2.732;2.899;36;3;Niño Jesús;Retiro
2019;Anual;2.768;2.940;36;3;Niño Jesús;Retiro
2020;Anual;2.825;2.991;36;3;Niño Jesús;Retiro
2021;Anual;2.793;2.977;36;3;Niño Jesús;Retiro
2022;Anual;2.843;3.006;36;3;Niño Jesús;Retiro
2013;Anual;4.784;5.046;143;14;Marroquina;Moratalaz
2014;Anual;4.255;4.492;143;14;Marroquina;Moratalaz
2015;Anual;4.303;4.518;143;14;Marroquina;Moratalaz
2016;Anual;4.757;5.047;143;14;Marroquina;Moratalaz
2017;Anual;4.897;5.166;143;14;Marroquina;Moratalaz
2018;Anual;5.041;5.228;143;14;Marroquina;Moratalaz
2019;Anual;5.111;5.387;143;14;Marroquina;Moratalaz
2020;Anual;5.162;5.348;143;14;Marroquina;Moratalaz
2021;Anual;4.968;5.314;143;14;Marroquina;Moratalaz
2022;Anual;5.025;5.295;143;14;Marroquina;Moratalaz
2013;Anual;9.059;8.399;12;1;Embajadores;Centro
2014;Anual;7.584;7.243;12;1;Embajadores;Centro
2015;Anual;7.512;7.092;12;1;Embajadores;Centro
2016;Anual;9.051;8.212;12;1;Embajadores;Centro
2017;Anual;10.097;8.960;12;1;Embajadores;Centro
2018;Anual;10.210;8.761;12;1;Embajadores;Centro
2019;Anual;10.524;9.007;12;1;Embajadores;Centro
2020;Anual;10.857;9.007;12;1;Embajadores;Centro
2021;Anual;11.105;9.007;12;1;Embajadores;Centro
2022;Anual;11.689;9.480;12;1;Embajadores;Centro
2013;Anual;4.230;4.466;21;2;Imperial;Arganzuela
2014;Anual;3.521;3.747;21;2;Imperial;Arganzuela
2015;Anual;3.514;3.709;21;2;Imperial;Arganzuela
2016;Anual;4.278;4.513;21;2;Imperial;Arganzuela
2017;Anual;4.465;4.767;21;2;Imperial;Arganzuela
2018;Anual;4.482;4.717;21;2;Imperial;Arganzuela
2019;Anual;4.612;4.813;21;2;Imperial;Arganzuela
2020;Anual;4.666;4.826;21;2;Imperial;Arganzuela
2021;Anual;4.544;4.794;21;2;Imperial;Arganzuela
2022;Anual;4.611;4.851;21;2;Imperial;Arganzuela
2013;Anual;996;1.013;142;14;Horcajo;Moratalaz
2014;Anual;1.167;1.188;142;14;Horcajo;Moratalaz
2015;Anual;1.202;1.186;142;14;Horcajo;Moratalaz
2016;Anual;1.334;1.363;142;14;Horcajo;Moratalaz
2017;Anual;1.339;1.386;142;14;Horcajo;Moratalaz
2018;Anual;1.365;1.418;142;14;Horcajo;Moratalaz
2019;Anual;1.380;1.435;142;14;Horcajo;Moratalaz
2020;Anual;1.393;1.449;142;14;Horcajo;Moratalaz
2021;Anual;1.380;1.433;142;14;Horcajo;Moratalaz
2022;Anual;1.406;1.478;142;14;Horcajo;Moratalaz
2013;Anual;5.898;6.406;103;10;Lucero;Latina
2014;Anual;5.142;5.655;103;10;Lucero;Latina
