ANIO;CODDIS;NOMDIS;PrecioAlquilerEurosM2
2012;6;Tetuán;11,8
2011;6;Tetuán;12,3
2010;6;Tetuán;13,1
2009;6;Tetuán;14,1
2022;12;Usera;12,9
2021;12;Usera;11,3
2020;12;Usera;11,4
2019;12;Usera;11,9
2018;12;Usera;11,2
2017;12;Usera;10,2
2016;12;Usera;9,2
2015;12;Usera;9,0
2014;12;Usera;8,4
2013;12;Usera;8,3
2012;12;Usera;8,7
2011;12;Usera;9,3
2010;12;Usera;11,0
2022;19;Vicálvaro;11,2
2021;19;Vicálvaro;10,3
2020;19;Vicálvaro;10,2
2019;19;Vicálvaro;10,9
2018;19;Vicálvaro;10,0
2017;19;Vicálvaro;9,4
2016;19;Vicálvaro;8,9
2015;19;Vicálvaro;8,6
2014;19;Vicálvaro;7,6
2013;19;Vicálvaro;7,5
2012;19;Vicálvaro;8,4
2011;19;Vicálvaro;8,9
2022;18;Villa de Vallecas;11,9
2021;18;Villa de Vallecas;11,2
2020;18;Villa de Vallecas;11,4
2019;18;Villa de Vallecas;11,3
2018;18;Villa de Vallecas;10,9
2017;18;Villa de Vallecas;10,2
2016;18;Villa de Vallecas;9,4
2015;18;Villa de Vallecas;9,2
2014;18;Villa de Vallecas;8,5
2013;18;Villa de Vallecas;8,6
2012;18;Villa de Vallecas;9,2
2011;18;Villa de Vallecas;9,8
2010;18;Villa de Vallecas;9,6
2022;17;Villaverde;12,0
2021;17;Villaverde;10,9
2020;17;Villaverde;10,6
2019;17;Villaverde;10,7
2018;17;Villaverde;10,3
2017;17;Villaverde;9,2
2016;17;Villaverde;8,5
2015;17;Villaverde;7,9
2014;17;Villaverde;7,5
2013;17;Villaverde;7,4
2012;17;Villaverde;8,4
2011;17;Villaverde;8,8
