CodigoBarrio,NombreBarrio,K_means_k8,K_means_k9,Gaussian_8,Gaussian_9,Birch_8,Birch_9,Affinity,MeanShift,Optics,Agg_8,Agg_9
135.0,Portazgo,1,4,3,0,1,1,9,0,1,1,1
136.0,Numancia,1,5,4,8,1,1,10,0,1,1,1
141.0,Pavones,0,2,7,4,0,8,15,0,-1,0,8
142.0,Horcajo,6,1,1,2,2,0,15,0,-1,2,0
143.0,Marroquina,3,4,3,0,0,2,12,0,-1,0,2
144.0,Media Legua,0,2,7,4,0,8,8,0,3,0,8
145.0,Fontarrón,0,2,7,4,0,8,8,0,3,0,8
146.0,Vinateros,0,2,7,4,0,8,8,0,3,0,8
151.0,Ventas,1,5,4,8,1,1,10,0,-1,1,1
152.0,Pueblo Nuevo,1,5,4,8,1,1,10,0,-1,1,1
153.0,Quintana,3,4,3,0,0,2,12,0,1,0,2
154.0,La Concepción,3,8,3,0,0,2,3,0,-1,0,2
155.0,San Pascual,3,8,0,3,2,0,11,0,2,2,0
156.0,San Juan Bautista,6,1,1,2,2,0,11,0,2,2,0
157.0,Colina,6,1,1,2,2,0,11,0,2,2,0
158.0,Atalaya,2,6,5,6,3,3,7,1,-1,3,3
159.0,Costillares,6,1,1,7,2,0,11,0,2,2,0
161.0,Palomas,6,1,1,2,2,0,15,0,-1,2,0
162.0,Piovera,6,1,1,2,2,0,11,0,-1,2,0
163.0,Canillas,1,8,0,7,7,7,5,0,-1,7,7
164.0,Pinar del Rey,1,5,4,8,1,1,5,0,-1,1,1
165.0,Apóstol Santiago,0,2,7,4,2,0,15,0,-1,2,0
166.0,Valdefuentes,1,5,4,7,1,1,6,0,-1,1,1
171.0,Villaverde Alto - Casco Histórico de Villaverde,1,5,4,8,1,1,10,0,-1,1,1
172.0,San Cristóbal,0,2,7,4,0,2,14,0,-1,0,2
173.0,Butarque,0,1,1,4,2,0,15,0,-1,2,0
174.0,Los Rosales,1,4,3,0,1,1,9,0,1,1,1
175.0,Ángeles,3,4,3,0,0,2,12,0,1,0,2
181.0,Casco Histórico de Vallecas,1,5,4,8,1,1,10,0,-1,1,1
182.0,Santa Eugenia,6,1,1,7,2,0,15,0,-1,2,0
183.0,Ensanche de Vallecas,5,3,6,5,5,5,13,2,-1,5,5
191.0,Casco histórico de Vicálvaro,1,4,3,0,1,1,9,0,1,1,1
192.0,Valdebernardo,5,3,6,5,5,5,13,2,-1,5,5
193.0,Valderrivas,5,3,6,5,5,5,13,2,-1,5,5
194.0,El Cañaveral,5,3,6,5,5,5,13,2,-1,5,5
201.0,Simancas,3,4,3,0,4,4,3,0,-1,4,4
202.0,Hellín,0,2,7,4,0,2,14,0,-1,0,2
203.0,Amposta,0,2,7,4,0,2,14,0,-1,0,2
204.0,Arcos,0,2,7,4,0,2,14,0,-1,0,2
205.0,Rosas,6,1,1,7,2,0,9,0,-1,2,0
206.0,Rejas,6,4,3,0,0,2,11,0,-1,0,2
207.0,Canillejas,3,4,3,0,2,0,12,0,1,2,0
208.0,El Salvador,6,1,1,2,2,0,11,0,2,2,0
211.0,Alameda de Osuna,6,1,1,2,2,0,11,0,2,2,0
212.0,Aeropuerto,2,6,5,6,3,3,7,1,-1,3,3
213.0,Casco Histórico de Barajas,0,2,7,4,0,8,8,0,-1,0,8
214.0,Timón,6,1,1,2,2,0,15,0,-1,2,0
215.0,Corralejos,6,1,1,2,2,0,11,0,-1,2,0
